Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,10,246.84776310850287,769,77,14.15625,0.13854408264160156
1,2,10,196.4924240491752,531,54,7.9921875,0.11210203170776367
1,3,10,156.86500705120545,318,32,8.00390625,0.08050847053527832
1,4,10,173.93607486307104,270,27,5.81640625,0.08066606521606445
1,5,10,274.6883835420691,404,41,5.00390625,0.08819293975830078
1,6,10,187.76450198781725,529,53,5.00390625,0.10557079315185547
1,7,10,124.58073580374344,176,18,5.00390625,0.07201242446899414
1,8,10,87.95331880577396,244,25,5.00390625,0.06426692008972168
1,9,10,222.56349186104083,670,67,5.00390625,0.13590598106384277
1,10,10,102.26702730475868,217,22,5.00390625,0.0617828369140625
1,11,10,131.40916292848962,347,35,5.00390625,0.08076333999633789
1,12,10,258.33304448274146,554,56,5.00390625,0.11886405944824219
1,13,10,172.03657992645947,503,51,5.00390625,0.09564781188964844
1,14,10,137.9655121145937,290,29,5.00390625,0.06433725357055664
1,15,10,142.37972567696684,169,17,5.00390625,0.06454348564147949
1,16,10,173.27922061357867,542,55,5.00390625,0.10424184799194336
1,17,10,281.5168106668152,632,64,5.00390625,0.1128852367401123
1,18,10,229.26197667087598,387,39,5.00390625,0.11197876930236816
1,19,10,204.80613254816006,366,37,5.00390625,0.08844447135925293
1,20,10,263.9604614807112,407,41,5.00390625,0.09586811065673828
1,21,10,195.97770542341374,460,46,5.00390625,0.09276080131530762
1,22,10,149.72287142747447,448,45,5.00390625,0.0957329273223877
1,23,10,233.9482681718911,657,66,5.00390625,0.12846708297729492
1,24,10,146.2375900532359,443,45,5.00390625,0.09518980979919434
1,25,10,219.4335495461297,310,31,5.00390625,0.07976770401000977
1,26,10,289.24473272817323,797,80,5.00390625,0.1367628574371338
1,27,10,266.96046148071116,525,53,5.00390625,0.10470914840698242
1,28,10,278.20310216783054,381,39,5.00390625,0.08036255836486816
1,29,10,333.6000717875009,786,79,5.00390625,0.1447124481201172
1,30,10,132.2375900532358,367,37,5.00390625,0.08891439437866211
1,31,10,110.61017305526633,333,34,5.00390625,0.09608578681945801
1,32,10,241.26197667087595,606,61,5.00390625,0.11279511451721191
1,33,10,222.63455967290622,649,65,5.00390625,0.11359548568725586
1,34,10,205.2203461105331,410,41,5.00390625,0.10590505599975586
1,35,10,208.39191898578693,670,67,5.00390625,0.12945127487182617
1,36,10,334.07315985291956,869,87,5.00390625,0.14534997940063477
1,37,10,36.62741699796953,67,7,5.00390625,0.04826068878173828
1,38,10,240.77669529663734,568,57,5.00390625,0.10448026657104492
1,39,10,209.4213562373098,560,56,5.00390625,0.10468125343322754
1,40,10,170.1787155501903,242,25,5.00390625,0.07306718826293945
1,41,10,175.90663761154823,194,20,5.00390625,0.07267999649047852
1,42,10,209.4213562373097,595,60,5.00390625,0.12798810005187988
1,43,10,338.18585822512784,438,44,5.00390625,0.1018376350402832
1,44,10,84.63961030678922,294,30,5.00390625,0.08094668388366699
1,45,10,195.8650070512057,608,61,5.00390625,0.11322474479675293
1,46,10,159.69343417595172,214,22,5.00390625,0.05616950988769531
1,47,10,347.2031021678306,870,87,5.00390625,0.13681459426879883
1,48,10,11.071067811865477,21,3,5.00390625,0.03602313995361328
1,49,10,128.82337649086273,229,23,5.00390625,0.06426286697387695
1,50,10,135.89444430272823,216,22,5.00390625,0.07242417335510254
1,51,10,185.42135623730968,537,54,5.00390625,0.09654593467712402
1,52,10,60.6690475583121,142,15,5.00390625,0.04902958869934082
1,53,10,88.12489168102778,228,23,5.00390625,0.0641179084777832
1,54,10,280.546247918338,758,76,5.00390625,0.1284801959991455
1,55,10,123.82337649086271,280,28,5.00390625,0.06496572494506836
1,56,10,196.32085117392143,656,66,5.00390625,0.128434419631958
1,57,10,299.00209204105397,509,51,5.00390625,0.11259937286376953
1,58,10,196.10764773832494,563,57,5.00390625,0.10476374626159668
1,59,10,199.22034611053306,553,56,5.00390625,0.11210823059082031
1,60,10,73.39696961966995,120,12,5.00390625,0.056027889251708984
1,61,10,304.6173157302036,913,92,5.00390625,0.17902302742004395
1,62,10,97.85281374238559,98,10,5.00390625,0.052008867263793945
1,63,10,188.9066376115483,346,35,5.19140625,0.08832550048828125
1,64,10,313.47518010647264,879,88,5.81640625,0.15212607383728027
1,65,10,251.78888860545732,288,29,5.00390625,0.07614850997924805
1,66,10,327.5168106668154,996,100,5.00390625,0.16050076484680176
1,67,10,84.22539674441613,247,25,5.00390625,0.07057833671569824
1,68,10,181.90663761154826,465,47,5.00390625,0.08824443817138672
1,69,10,241.33304448274149,328,33,5.00390625,0.09600639343261719
1,70,10,56.84062043356593,158,16,5.00390625,0.06423568725585938
1,71,10,185.22034611053303,247,25,5.00390625,0.07202887535095215
1,72,10,60.254833995939016,80,8,5.00390625,0.04820537567138672
1,73,10,225.67619023324892,700,70,5.00390625,0.12856769561767578
1,74,10,92.78174593052015,264,27,5.00390625,0.15198493003845215
1,75,10,108.68124086713179,144,15,5.00390625,0.0557246208190918
1,76,10,340.94321753800847,509,51,5.00390625,0.10397696495056152
1,77,10,112.26702730475868,219,22,5.00390625,0.09595799446105957
1,78,10,15.313708498984763,32,4,5.00390625,0.048566341400146484
1,79,10,261.74725804511456,780,78,5.00390625,0.1367788314819336
1,80,10,242.23253941935323,653,66,5.00390625,0.12089943885803223
1,81,10,87.29646455628158,115,12,5.00390625,0.05718111991882324
1,82,10,116.58073580374342,128,13,5.00390625,0.05644488334655762
1,83,10,70.74011537017756,160,16,5.00390625,0.05643749237060547
