Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,1,10,239.97770542341402,627,63,14.01953125,0.05627322196960449
1,2,10,180.6518036156092,419,42,5.98828125,0.059323787689208984
1,3,10,147.40916292848968,218,22,7.00390625,0.03730368614196777
1,4,10,179.93607486307107,328,33,5.81640625,0.06104111671447754
1,5,10,270.6467529817264,477,48,5.00390625,0.03907656669616699
1,6,10,181.13708498984775,489,49,5.00390625,0.048540592193603516
1,7,10,127.50966799187796,206,21,5.00390625,0.0532073974609375
1,8,10,80.254833995939,187,19,5.00390625,0.042304277420043945
1,9,10,211.3086578651016,500,50,5.00390625,0.0583806037902832
1,10,10,92.81118318204301,182,19,5.00390625,0.038178205490112305
1,11,10,126.68124086713176,343,35,5.00390625,0.06028914451599121
1,12,10,246.73506473629476,470,47,5.00390625,0.051371097564697266
1,13,10,168.82337649086296,459,46,5.00390625,0.045616865158081055
1,14,10,126.61017305526633,216,22,5.00390625,0.0543367862701416
1,15,10,144.48023074035518,255,26,5.00390625,0.04134798049926758
1,16,10,166.99494936611677,428,43,5.00390625,0.0611569881439209
1,17,10,267.4335495461298,474,48,5.00390625,0.03542280197143555
1,18,10,227.7056274847719,428,43,5.00390625,0.048189640045166016
1,19,10,202.66399692442903,339,34,5.00390625,0.05592942237854004
1,20,10,254.50461735799536,414,42,5.00390625,0.04137539863586426
1,21,10,193.45079348883257,389,39,5.00390625,0.08758711814880371
1,22,10,145.58073580374352,373,38,5.00390625,0.06123042106628418
1,23,10,223.27922061357887,569,57,5.00390625,0.045249223709106445
1,24,10,142.33809511662423,445,45,5.00390625,0.06223654747009277
1,25,10,217.53405460951797,319,32,5.00390625,0.03415274620056152
1,26,10,267.705627484772,565,57,5.00390625,0.045639753341674805
1,27,10,261.0193359837567,458,46,5.00390625,0.06117844581604004
1,28,10,278.6467529817265,506,51,5.00390625,0.05055570602416992
1,29,10,311.85995641732296,599,60,5.00390625,0.04543805122375488
1,30,10,120.88225099390847,287,29,5.00390625,0.05835866928100586
1,31,10,108.12489168102776,303,31,5.00390625,0.038251399993896484
1,32,10,223.7645019878175,470,47,5.00390625,0.06331181526184082
1,33,10,212.55129855222089,544,55,5.00390625,0.05224013328552246
1,34,10,194.6934341759519,333,34,5.00390625,0.045346736907958984
1,35,10,202.10764773832494,539,54,5.00390625,0.08730030059814453
1,36,10,317.7472580451148,681,69,5.00390625,0.04030179977416992
1,37,10,36.62741699796953,60,6,5.00390625,0.04735827445983887
1,38,10,234.49242404917538,542,55,5.00390625,0.05424976348876953
1,39,10,202.20815280171323,494,50,5.00390625,0.04302191734313965
1,40,10,173.93607486307107,257,26,5.00390625,0.06645464897155762
1,41,10,178.8355697996828,267,27,5.00390625,0.046159982681274414
