lookahead,Path cost (RTAA_star),Path cost (LRTA_star),Path cost (ARA_star),Path cost (D_star),Path cost (D_star_Lite),Path cost (LPA_star),Path cost (A_star),Number of expanded nodes (RTAA_star),Number of expanded nodes (LRTA_star),Number of expanded nodes (ARA_star),Number of expanded nodes (D_star),Number of expanded nodes (D_star_Lite),Number of expanded nodes (LPA_star),Number of expanded nodes (A_star),Number of searches (RTAA_star),Number of searches (LRTA_star),Number of searches (ARA_star),Number of searches (D_star),Number of searches (D_star_Lite),Number of searches (LPA_star),Number of searches (A_star),Memory consumption (MB) (RTAA_star),Memory consumption (MB) (LRTA_star),Memory consumption (MB) (ARA_star),Memory consumption (MB) (D_star),Memory consumption (MB) (D_star_Lite),Memory consumption (MB) (LPA_star),Memory consumption (MB) (A_star),Execution time (s) (RTAA_star),Execution time (s) (LRTA_star),Execution time (s) (ARA_star),Execution time (s) (D_star),Execution time (s) (D_star_Lite),Execution time (s) (LPA_star),Execution time (s) (A_star)
10,181.3653100892387,187.96240312876475,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,371.78,424.44,11512.92,213515.43,4630.68,7096.08,17336.16,37.55,42.8,1.0,34971.54,1.0,2.0,1.0,5.13203125,5.1734375,1.2489453125,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.05158904075622554,0.09556913375854488,0.23870420932769773,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
20,181.38803953414288,188.61779418119878,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,577.4,632.99,20726.94,213515.43,4630.68,7096.08,17336.16,29.34,32.07,4.0,34971.54,1.0,2.0,1.0,5.0039453125,5.0043359375,2.1790234375,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.053494181632995554,0.18784358263015744,1.0238764834403993,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
30,181.9447386752438,187.39615854471336,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,790.36,757.22,12082.16,213515.43,4630.68,7096.08,17336.16,26.79,25.66,6.01,34971.54,1.0,2.0,1.0,5.0040234375,5.0034765625,1.2425390625,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.053859393596649124,0.3865794277191162,0.5724643588066101,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
40,182.54213982894555,188.02277759354712,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1013.33,905.86,20776.41,213515.43,4630.68,7096.08,17336.16,25.73,23.06,9.0,34971.54,1.0,2.0,1.0,5.0039453125,5.00390625,2.126875,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.056388683319091755,0.5148780131340027,0.5866351413726807,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
50,183.75399841119685,187.2144218955503,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1263.27,1004.92,12019.45,213515.43,4630.68,7096.08,17336.16,25.6,20.52,11.0,34971.54,1.0,2.0,1.0,5.004375,5.00375,0.8687890625,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.060802431106567335,0.7217955708503723,0.5070811939239502,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
60,184.17524732800715,187.81424945612326,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1443.83,1142.28,20779.34,213515.43,4630.68,7096.08,17336.16,24.42,19.48,14.0,34971.54,1.0,2.0,1.0,5.00390625,5.00390625,1.623828125,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.06306478977203364,0.8870981001853943,1.230312132835388,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
70,183.98529783434594,187.74631006372982,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1607.87,1253.91,12024.94,213515.43,4630.68,7096.08,17336.16,23.34,18.36,16.0,34971.54,1.0,2.0,1.0,5.003984375,5.00390625,0.6221875,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.0648655223846435,1.0329046654701233,0.6304722714424134,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
80,184.84679061733263,187.8951116532584,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1766.78,1339.34,20805.16,213515.43,4630.68,7096.08,17336.16,22.46,17.17,19.0,34971.54,1.0,2.0,1.0,5.00390625,5.00390625,1.7259375,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.07103082656860348,1.1756264781951904,1.2275075149536132,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
90,184.4736535323428,188.1457213186994,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,1922.17,1446.79,12021.73,213515.43,4630.68,7096.08,17336.16,21.7,16.51,21.0,34971.54,1.0,2.0,1.0,5.0034375,5.0039453125,0.645859375,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.07123773336410517,1.1824144148826599,0.633922142982483,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
100,185.62159292473618,187.3538627364481,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,2104.39,1514.04,20792.73,213515.43,4630.68,7096.08,17336.16,21.38,15.58,24.0,34971.54,1.0,2.0,1.0,5.00390625,5.00390625,1.736796875,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.0762218856811523,1.4543757343292236,1.134934892654419,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
110,185.20142048530917,188.6529291125636,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,2219.83,1619.23,12026.82,213515.43,4630.68,7096.08,17336.16,20.53,15.15,26.0,34971.54,1.0,2.0,1.0,5.00390625,5.00390625,0.520546875,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.08060954332351682,1.6906877255439758,0.5598318409919739,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
120,185.83639523213972,188.7849897201702,183.80724666114983,183.80724666114983,106.7878231512873,103.45332029254179,183.80724666114983,2368.89,1728.99,20776.16,213515.43,4630.68,7096.08,17336.16,20.09,14.8,29.0,34971.54,1.0,2.0,1.0,5.00390625,5.00390625,1.7891796875,24.5281640625,1.2002734375,1.267421875,0.7978515625,0.08274456024169917,1.8661410522460937,1.2324347400665283,6.951558001041413,0.6539666485786438,0.8094186019897461,0.09698963880538937
