Algorithm,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.35,100,43.174066289845804,250,81.01219330881972,909,4,1145.6484375,2624.0,1832.0,86.1067
3,2,0.35,100,43.174066289845804,-,86.04163056034258,3212,5,437.0126953125,344.0,264.0,63.3761
4,2,0.35,100,43.174066289845804,-,73.69848480983498,769,1,109.248046875,932.0,492.0,252.1107
2,3,0.35,250,56.08029957123981,250,78.76955262170044,1093,5,7520.8037109375,16228.0,17148.0,165.1082
3,3,0.35,250,56.08029957123981,-,83.7989898732233,2130,5,173.603515625,256.0,264.0,33.0014
4,3,0.35,250,56.08029957123981,-,73.69848480983497,665,1,94.861328125,1608.0,1508.0,196.6057
2,4,0.25,100,38.118237105091836,250,77.01219330881972,1218,5,1159.85546875,1372.0,1268.0,111.2788
3,4,0.25,100,38.118237105091836,-,75.45584412271569,2512,5,382.359375,136.0,164.0,55.2837
4,4,0.25,100,38.118237105091836,-,72.8700576850888,863,1,111.3447265625,104.0,0.0,285.4501
2,5,0.35,100,36.069377593742864,250,70.4974746830583,641,3,1119.31640625,760.0,1116.0,55.8323
3,5,0.35,100,36.069377593742864,-,97.4264068711928,6643,5,825.953125,364.0,168.0,136.5006
4,5,0.35,100,36.069377593742864,-,69.08326112068521,590,1,91.369140625,104.0,20.0,218.5143
