Algorithm,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
2,2,0.25,250,197.20547659738054,250,225.53405460951808,3167,13,7675.6201171875,18712.0,19108.0,263.0633
3,2,0.25,250,197.20547659738054,-,243.4507934888328,25109,5,3558.1474609375,2640.0,2436.0,721.6009
4,2,0.25,250,197.20547659738054,-,219.67619023324903,4831,1,504.5859375,1572.0,1888.0,1692.884
2,3,0.25,300,129.34063553268942,250,246.26197667087604,4575,19,12814.3203125,25144.0,25192.0,456.8641
3,3,0.25,300,129.34063553268942,-,244.86500705120588,27074,5,3712.1328125,3496.0,3168.0,777.2016
4,3,0.25,300,129.34063553268942,-,218.8477631085028,4261,1,463.9169921875,1692.0,1088.0,1411.1013
2,4,0.1,250,72.56721022610694,250,221.09040379562214,3700,15,7701.33984375,13040.0,13268.0,300.3115
3,4,0.1,250,72.56721022610694,-,222.36248173426424,24664,5,3492.3046875,3080.0,3144.0,692.3852
4,4,0.1,250,72.56721022610694,-,215.91883092036824,4514,1,495.07421875,1684.0,1104.0,1845.4644
2,5,0.25,250,172.00290695217916,250,148.39696961967,2732,11,7630.78515625,11992.0,11884.0,253.1438
3,5,0.25,250,172.00290695217916,-,138.59797974644667,5754,5,788.1640625,184.0,212.0,122.4125
4,5,0.25,250,172.00290695217916,-,135.4264068711928,2528,1,323.8388671875,156.0,136.0,842.1485
