Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,24548.0,24288.0,2409.898334
2,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2400.1203
3,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2636.0,3072.0,2401.375156
4,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2372.0,3072.0,2405.649003
5,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2372.0,3072.0,2427.502378
6,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2372.0,3072.0,2426.081182
7,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2372.0,3072.0,2394.39631
8,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,2372.0,3072.0,2422.242318
9,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2395.673349
10,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2415.194857
11,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2396.127626
12,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2407.497621
13,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2450.958561
14,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2401.350825
15,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2400.836328
16,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2403.794751
17,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2421.237927
18,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,3072.0,2397.641
19,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2396.109173
20,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2407.591189
21,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2399.906146
22,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2408.034053
23,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2415.576982
24,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2416.489362
25,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2404.496851
26,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2397.897617
27,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2393.180298
28,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2410.376853
29,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2419.890227
30,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2419.057888
31,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2399.653609
32,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2396.975406
33,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2415.710843
34,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2403.804351
35,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2415.437634
36,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2410.320631
37,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2424.887986
38,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2416.027156
39,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2401.102854
40,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2403.02151
41,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2394.68762
42,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2396.146685
43,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2397.962
44,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2401.64333
45,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2399.617141
46,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2403.438307
47,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2403.851136
48,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2448.67661
49,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2420.453416
50,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2402.480049
51,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2406.385037
52,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2400.562612
53,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2420.299127
54,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2404.889501
55,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2413.221145
56,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2406.406298
57,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2398.265792
58,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2406.975186
59,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2393.121938
60,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2417.556317
61,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2402.687161
62,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2400.145022
