Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,13988.0,14084.0,730.367508
2,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,732.103275
3,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,729.206146
4,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,738.572913
5,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.397069
6,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,736.368393
7,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.334951
8,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,737.467924
9,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,722.437706
10,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,731.359379
11,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,724.09963
12,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,729.419135
13,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,729.878416
14,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,731.271874
15,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,725.849801
16,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,732.195275
17,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,732.168763
18,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,730.224833
19,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,731.579005
20,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2900.0,3072.0,731.426406
21,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,728.733667
22,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.532503
23,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,728.932096
24,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.573917
25,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.939422
26,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,737.710352
27,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,734.437749
28,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,734.751511
29,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.031674
30,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.985802
31,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.9762
32,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.903483
33,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.319434
34,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,729.32853
35,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.920036
36,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,728.796062
37,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.152378
38,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.950086
39,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.742486
40,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.652192
41,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,727.428509
42,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.031353
43,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,729.190288
44,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,729.387309
45,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.025935
46,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,732.573017
47,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,728.701786
48,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,733.0033
49,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.142998
50,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,737.697687
51,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,741.922795
52,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,734.4451
53,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,729.003999
54,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,735.119555
55,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,730.520742
56,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,738.148135
57,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,726.737433
58,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,735.798127
59,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,731.335246
