Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48865.78125,52004.0,53248.0,14898.112613
2,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15187.198611
3,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,20588.0,20708.0,15069.321998
4,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,15836.0,15872.0,15099.33322
5,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15144.843636
6,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15392.456191
7,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15422.140246
8,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,39860.0,39936.0,15453.931825
9,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15488.23589
10,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15704.649048
11,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15579.302344
12,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15712.462643
13,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15711.854158
14,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15679.944265
15,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15711.144552
16,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15617.64536
17,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15699.248169
18,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15584.98059
19,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15744.178354
20,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15647.989628
21,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15620.455125
22,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15636.016239
23,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15769.518166
24,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15715.170473
25,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15801.954683
26,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15775.088963
27,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15864.755184
28,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15827.484569
29,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15903.239413
30,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15857.68918
31,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15964.895505
32,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15965.612108
33,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15977.833732
34,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16097.902719
35,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16034.117134
36,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16050.54412
37,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16150.672877
38,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16097.997026
39,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16173.785154
40,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15985.782973
41,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16046.880724
42,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15987.30311
43,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15997.612759
44,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16105.226563
45,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,15921.249332
46,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16118.775791
47,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16298.995361
48,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16036.133821
49,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16048.137244
50,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16269.506817
51,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16173.635774
52,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16105.248283
53,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16118.416917
54,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,21644.0,21504.0,16196.125772
55,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16461.651428
56,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16153.608465
57,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16168.133247
58,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16213.093509
59,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16315.776539
60,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16204.313191
61,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16290.432412
62,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16425.868945
63,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16365.015552
64,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16345.689504
65,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16305.501594
66,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16386.211517
67,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16667.60192
68,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16438.162102
69,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16421.395158
70,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16445.108955
71,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,15504.0,15360.0,16600.064912
72,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16574.175236
73,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16564.21812
74,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16460.76455
75,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16622.746621
76,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16579.53423
77,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16570.56011
78,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16655.992654
79,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16639.499956
80,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16534.816249
81,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,15616.0,15360.0,16542.356205
82,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16809.357707
83,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16736.312039
84,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16625.913687
85,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,15600.0,15360.0,16659.238036
86,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16564.051056
87,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16573.467986
88,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16621.632751
89,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16636.344321
90,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16587.927759
91,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16709.038043
92,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,11348.0,11264.0,16666.317609
93,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,21644.0,21504.0,16516.456759
94,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16700.392173
95,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,15584.0,15360.0,16687.190173
96,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16657.709787
97,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16631.140097
98,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16731.244335
99,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16595.936994
100,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16364.0,16384.0,16635.126189
1,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,15584.0,15360.0,16724.591276
2,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16644.867654
3,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,15600.0,15360.0,16745.573814
4,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16806.701214
5,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16737.038395
6,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16865.96975
7,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16725.375883
8,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16663.077003
9,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16636.385605
10,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16638.163639
11,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16755.094715
12,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16668.519045
13,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,15600.0,15360.0,16785.469839
14,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16645.638517
15,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16848.107037
16,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16667.653057
17,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16595.616169
18,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,21644.0,21504.0,16704.176823
19,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16762.434978
20,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16590.501106
21,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16718.693294
22,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16604.763947
23,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16757.454077
24,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,11084.0,11264.0,16666.914002
25,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16556.546412
26,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16100.0,16384.0,16665.350912
27,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16658.542581
28,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16100.0,16384.0,16684.010078
29,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,15568.0,15360.0,16723.25496
30,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16761.179
31,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16618.459741
32,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16606.803466
33,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16641.188907
