Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1769.3515625,1320.0,1024.0,4045.477515
2,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4088.23105
3,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4086.208046
4,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4078.169969
5,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4085.311273
6,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4069.60092
7,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4093.667249
8,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4083.872402
9,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4095.710265
10,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4074.397265
11,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4120.347122
12,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4067.360127
13,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4084.950091
14,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4056.514177
15,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4087.309523
16,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4075.745622
17,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4120.968809
18,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4071.503622
19,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4073.144963
20,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4049.911444
21,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4084.060146
22,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4065.728299
23,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4076.192818
24,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4088.678177
25,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4063.825242
26,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4071.287833
27,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4083.657732
28,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4072.194182
29,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4135.299079
30,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4047.614183
31,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4104.1868
32,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4106.249335
33,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4071.973739
34,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4088.983908
35,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4067.72627
36,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4058.701692
37,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4061.636955
38,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4063.911095
39,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4192.279115
40,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4080.337239
41,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4127.428172
42,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4097.848244
43,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4067.661205
44,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4102.172986
45,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4113.099395
46,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4081.844818
47,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4125.61659
48,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4111.43622
49,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4115.145901
50,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4109.442619
51,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4141.363665
52,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4054.151701
53,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4130.052931
54,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4084.968182
55,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4088.812738
56,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4110.556503
57,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4079.235792
58,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4067.538322
59,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4080.117959
60,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4079.164397
61,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4078.845915
62,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4086.375319
63,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4119.234525
64,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4066.664293
65,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4096.807466
66,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4086.860284
67,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4077.227837
68,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4105.506758
69,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4071.805374
70,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4100.82779
71,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4091.302634
72,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4098.203886
73,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4101.554261
74,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4087.833977
75,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4132.86231
76,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4098.086037
77,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4082.032494
78,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4053.713311
79,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4065.243471
80,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4129.179901
81,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4138.686417
82,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4053.697697
83,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4079.58086
84,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4072.663268
85,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4075.373721
86,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4112.602968
87,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4142.119842
88,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4072.309519
89,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4100.982519
90,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4065.397464
91,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4060.941678
92,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4081.790276
93,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4129.387956
94,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4055.064495
95,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4098.008647
96,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4056.141827
97,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4080.308924
98,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4086.899307
99,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4116.537673
100,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4074.505274
1,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3905.867144
2,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3904.306245
3,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3906.010848
4,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3908.552603
5,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3922.371717
6,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3924.84492
7,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3917.793098
8,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3895.892557
9,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3903.784119
10,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3900.055471
11,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3943.416824
12,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3890.811001
13,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3899.010213
14,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,3916.041091
