Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4273.3125,2640.0,2048.0,6378.629087
2,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,260.0,0.0,6388.952562
3,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6427.428327
4,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6438.848699
5,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6455.629447
6,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6452.125156
7,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6439.545712
8,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6445.850304
9,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6474.999509
10,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6443.523881
11,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6399.761784
12,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6434.094839
13,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6428.93142
14,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6430.526644
15,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6457.062618
16,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6473.966492
17,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6433.45483
18,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6426.220088
19,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6481.334125
20,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6438.691165
21,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6476.441692
22,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6476.546476
23,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6467.692435
24,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6410.996822
25,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6407.844627
26,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6502.242986
27,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6502.153164
28,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6448.144951
29,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6448.504189
30,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6407.633741
31,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6430.565082
32,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6442.747694
33,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6494.93539
34,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6459.957186
35,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6420.974745
36,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6476.305574
37,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6471.958453
38,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6449.503467
39,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6435.725603
40,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6434.464592
41,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6406.837243
42,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6432.110513
43,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6397.371226
44,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6428.646166
45,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6497.697399
46,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6459.351611
47,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6413.891318
48,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6427.725606
49,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6439.209057
50,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6448.309843
51,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6525.217337
52,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6435.099929
53,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6420.187548
54,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6429.10193
55,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6415.892931
56,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6480.386097
57,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6439.626069
58,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6418.47575
59,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6424.944551
60,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6444.741284
61,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6448.056429
62,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6420.875686
63,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6461.016049
64,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6443.516406
65,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6471.156662
66,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6437.991057
67,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6510.380082
68,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6441.226601
69,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6443.743607
70,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6415.062722
71,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6429.49271
72,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6475.823239
73,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6443.43876
74,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6409.807526
75,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6457.054785
76,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6461.438104
77,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6456.606482
78,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6426.358985
79,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6489.404438
80,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6427.75616
81,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6421.340431
82,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6411.415468
83,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6449.913702
84,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6434.747637
