Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,22964.0,23040.0,3722.573009
2,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3716.155527
3,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3699.892
4,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3714.259744
5,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3712.566025
6,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3698.403202
7,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3718.750263
8,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3700.104237
9,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3707.238001
10,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3717.727519
11,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3706.830079
12,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3713.628866
13,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3798.639429
14,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3704.875895
15,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3693.764271
16,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3709.124739
17,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3718.339178
18,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7388.0,7168.0,3684.7203
19,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3684.484292
20,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3683.685133
21,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3688.868723
22,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3677.765753
23,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3681.199238
24,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3690.448545
25,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3678.726958
26,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3691.475235
27,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3695.448438
28,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3685.705757
29,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3695.060733
30,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3705.125517
31,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3687.602522
32,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3684.81858
33,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3684.75434
34,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3687.471813
35,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3690.493349
36,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3694.19948
37,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3694.735627
38,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3696.941151
39,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3694.507646
40,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3716.702122
41,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3690.014948
42,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3690.011344
43,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3697.723456
44,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3692.334036
45,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3700.628026
46,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3680.675303
47,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3689.576097
48,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3688.761003
49,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3701.784448
50,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3697.956213
51,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3683.983493
52,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3690.310201
53,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3689.445897
54,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3702.411314
55,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3689.3694
56,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3694.735626
57,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3780.566494
58,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3718.967538
59,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3695.266707
60,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3703.386741
61,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3697.77522
62,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3710.696936
63,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3682.412166
64,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3696.490624
65,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3698.409958
66,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3704.056048
67,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3688.650282
68,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3696.388063
69,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3693.615578
70,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3707.422614
71,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3688.169955
72,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3697.325278
73,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3693.567558
74,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3702.051004
75,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3682.650218
76,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3693.583827
77,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3686.208511
78,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3698.037196
79,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3697.935452
80,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3696.232005
81,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3695.522715
82,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3699.322504
83,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3693.345257
84,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3698.203504
85,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3692.628268
86,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3696.547518
87,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3719.11317
88,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,4748.0,5120.0,3700.479217
89,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,4748.0,5120.0,3722.430634
90,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,5804.0,6144.0,3696.965492
91,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3700.312511
92,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3702.238465
93,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3692.408026
94,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3700.496488
95,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3701.001682
96,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3701.005364
97,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3713.562118
98,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3687.643641
99,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3702.673571
100,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3683.293278
1,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6860.0,7168.0,6095.046326
2,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6122.000113
3,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6137.147142
4,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6104.362595
5,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6108.700752
6,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6129.66665
7,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6118.153952
8,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6102.862774
9,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6125.040832
10,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6112.822082
11,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6111.168649
12,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6097.272423
13,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6118.696152
14,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6111.337999
15,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6109.222937
16,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6094.864313
17,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6104.712445
18,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6110.70163
19,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6104.235085
20,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6111.510877
21,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6141.895778
22,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6102.210559
23,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6129.55602
24,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6132.193377
25,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6139.322653
26,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6095.243843
27,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6121.333785
28,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6119.211636
29,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6104.285815
30,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6086.850128
31,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6114.693336
32,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6091.940693
33,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6129.474894
34,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6102.250028
35,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6097.821908
36,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6131.612379
37,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6131.154143
38,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6101.96377
39,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6105.183695
40,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6106.597536
41,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6125.50486
42,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6114.937426
43,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6110.453873
44,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6096.97113
45,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6117.597779
46,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6119.315889
47,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6107.975567
48,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6116.311554
49,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6121.340123
50,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6121.021565
51,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6104.794041
52,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6109.706588
53,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6125.254308
54,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6109.181083
55,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,5804.0,6144.0,6116.484879
