Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,23228.0,23040.0,322.402063
2,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,308.705791
3,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,312.445252
4,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,314.657543
5,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,317.445753
6,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,312.513968
7,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,312.286166
8,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,309.717463
9,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,314.791527
10,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,315.529041
11,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,311.958915
12,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,321.774969
13,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,315.827916
14,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6596.0,7168.0,317.529335
15,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6332.0,6144.0,317.890176
16,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,310.92991
17,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,316.693486
18,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,316.543815
19,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,321.726114
20,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,313.388801
21,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,319.609353
22,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,314.276207
23,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,314.093705
24,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,325.491806
25,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,315.607593
26,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,326.298922
27,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,311.504967
28,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,316.285656
29,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,312.301822
30,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,316.788581
31,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,317.283553
32,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,5540.0,6144.0,313.197541
