Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),420.0214280248092,2483.650829198,2489.536467,82.19390092865282,2326.03332,2639.284132
ARA*,Execution time (ms),339.4112549695428,1885.2640986529998,1893.5966365,78.60422149127834,1725.195297,2013.378444
ARA*,Execution time (ms),254.55844122715712,1050.0083736010001,1058.16775,93.96082399018444,898.200383,1224.23229
ARA*,Execution time (ms),169.7056274847714,366.224365352,358.823889,34.75191286648637,321.18197,447.697912
ARA*,Execution time (ms),84.8528137423857,69.34822880499999,72.2636765,7.316876017154878,55.858485,83.655981
ARA*,Execution time (ms),28.284271247461906,6.1474113710000005,5.8178245,1.9032650571041578,4.166502,12.903635
RTAA**,Execution time (ms),420.0214280248092,323.842800936,321.015047,17.678746241457837,293.774736,375.917243
RTAA**,Execution time (ms),339.4112549695428,286.69583796399996,287.2323665,17.774611178162765,252.528816,330.800993
RTAA**,Execution time (ms),254.55844122715712,251.70738628700002,255.40105549999998,16.452088369663606,212.950109,283.181407
RTAA**,Execution time (ms),169.7056274847714,211.76588319500001,208.84007450000001,14.162972047063256,190.345561,248.918346
RTAA**,Execution time (ms),84.8528137423857,168.38783141600004,168.70719400000002,7.47559422646819,148.699332,191.62948
RTAA**,Execution time (ms),28.284271247461906,147.92012657299998,147.832553,4.061520145177362,139.135217,161.062225
LRTA*,Execution time (ms),420.0214280248092,4736.027173539,4707.8403825000005,865.5323550394742,3431.386531,6141.895778
LRTA*,Execution time (ms),339.4112549695428,3472.378547934,3543.467455,691.8593455572061,2442.686692,5015.820973
LRTA*,Execution time (ms),254.55844122715712,2563.139204947,2575.0430699999997,522.2001373534077,1308.964894,3617.07094
LRTA*,Execution time (ms),169.7056274847714,1676.483592145,1565.8974275,546.8327605642382,933.69717,2591.510299
LRTA*,Execution time (ms),84.8528137423857,722.792402251,530.9590725,359.2703971419758,455.856634,1734.788198
LRTA*,Execution time (ms),28.284271247461906,146.141671462,144.889066,4.190066969439246,140.248105,158.770333
D*,Execution time (ms),420.0214280248092,15323.208690382999,15278.2212045,738.4558727278965,14210.444697,16865.96975
D*,Execution time (ms),339.4112549695428,15146.031805005001,14835.7834185,1062.7184497441283,14301.583301,24185.818172
D*,Execution time (ms),254.55844122715712,14302.215038458,14140.3461585,895.315720993646,13424.122574,23225.216836
D*,Execution time (ms),169.7056274847714,11427.548105652,11211.8209555,890.9478355967253,10663.669807,19068.012212
D*,Execution time (ms),84.8528137423857,3536.5314833109996,3504.2401,358.12311742368826,3016.468916,6453.980142
D*,Execution time (ms),28.284271247461906,499.43105821000006,489.456507,61.006223464909944,434.545947,971.103693
D* Lite,Execution time (ms),420.0214280248092,3906.959528069,4010.0196385,398.97519167993613,3028.149235,4475.457375
D* Lite,Execution time (ms),339.4112549695428,2817.048550859,2773.4767380000003,241.40682334938236,2452.764406,3215.103644
D* Lite,Execution time (ms),254.55844122715712,1345.7575199910002,1349.252633,124.14767310530604,1147.029531,1557.875196
D* Lite,Execution time (ms),169.7056274847714,675.3068377239999,691.2452575,51.82918285366684,574.167928,751.655629
D* Lite,Execution time (ms),84.8528137423857,169.29197307900003,164.2385145,26.358441149943992,134.095758,231.236643
