Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1769.3515625,1584.0,1024.0,4338.470194
2,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4376.922611
3,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4391.805107
4,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4356.399363
5,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4343.224722
6,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4348.595653
7,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4366.361849
8,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4341.70669
9,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4294.868976
10,1,0.25,300,420.0214280248092,-,437.59502115361835,17061,1,1668.109375,0.0,0.0,4359.546395
1,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4149.973571
2,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4132.401702
3,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4131.481728
4,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4163.468931
5,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4141.710708
6,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4208.528996
7,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4150.466568
8,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4178.898214
9,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4134.759216
10,2,0.25,300,420.0214280248092,-,437.5950211536184,16322,1,1630.875,0.0,0.0,4147.285814
1,3,0.25,300,420.0214280248092,-,438.7665940288722,18324,1,1744.3671875,0.0,0.0,4683.617816
