Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,23228.0,23040.0,307.742431
2,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,314.688003
3,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,306.46502
4,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,301.736127
5,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,306.657606
6,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,303.979253
7,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,306.321929
8,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,6860.0,7168.0,305.19641
9,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,7916.0,8192.0,303.594394
10,1,0.25,300,420.0214280248092,250,456.1391770309026,6469,26,13020.62890625,7916.0,8192.0,307.775299
1,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,310.758643
2,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,309.171038
3,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,309.176651
4,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,307.533998
5,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,309.415275
6,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,307.488229
7,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,307.588117
8,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,309.780825
9,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,311.323463
10,2,0.25,300,420.0214280248092,250,464.4823227814102,6683,27,13004.875,7916.0,8192.0,310.780391
1,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,7916.0,8192.0,313.818214
2,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,321.622597
3,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,313.949348
4,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,316.29563
5,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,312.051836
6,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,313.329751
7,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,312.988563
8,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,313.157576
9,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,315.108636
10,3,0.25,300,420.0214280248092,250,463.3107499061564,6735,27,13008.859375,6860.0,7168.0,317.967265
1,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,353.12038
2,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,350.964452
3,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,350.396886
4,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,379.013601
5,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,348.01083
6,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,354.484299
7,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,350.701337
8,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,350.593035
9,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,350.182822
10,4,0.25,300,420.0214280248092,250,465.06810921903707,7966,32,13096.5625,6860.0,8192.0,355.584041
