Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,24548.0,25324.0,2379.847814
2,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2379.060953
3,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2374.927703
4,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2377.14678
5,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2372.970898
6,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2399.279984
7,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2399.29882
8,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2377.090826
9,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2382.325288
10,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2380.413751
11,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2382.685202
12,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2377.703753
13,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2381.243388
14,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2378.71956
15,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2383.740035
16,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2380.168998
17,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2380.310926
18,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2377.428982
19,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3956.0,5120.0,2378.659325
20,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3428.0,4096.0,2375.035135
21,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2385.609781
22,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2389.24291
23,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2374.275151
24,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2377.073563
25,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2379.782533
26,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2381.724219
27,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2388.069382
28,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2389.606151
29,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2385.630384
30,1,0.25,300,420.0214280248092,-,489.73001410241227,76328,5,13468.1953125,3164.0,4096.0,2381.32132
1,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2554.046144
2,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2549.121514
3,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2544.551081
4,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2543.308933
5,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2543.868591
6,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2550.068326
7,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2547.844281
8,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2547.511821
9,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2549.011465
10,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2547.885911
11,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2541.082827
12,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2542.567506
13,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2544.674166
14,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2548.595013
15,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2543.719765
16,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2548.965399
17,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2546.622613
18,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2548.991214
19,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2546.300537
20,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2545.950398
21,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2541.542932
22,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2545.941073
23,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2548.802309
24,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2551.918701
25,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2543.984906
26,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2551.243526
27,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2546.407654
28,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2551.848793
29,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2553.294626
30,2,0.25,300,420.0214280248092,-,496.75945135393505,79674,5,13774.046875,3428.0,4096.0,2550.694917
1,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2526.666829
2,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2528.075455
3,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2524.870018
4,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2533.324153
5,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2529.959292
6,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2526.453091
7,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2521.564345
8,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2515.410067
9,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2515.238056
10,3,0.25,300,420.0214280248092,-,494.41630560342753,79608,5,13747.078125,3428.0,4096.0,2525.760921
