Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,13724.0,14032.0,718.241553
2,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,720.918412
3,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,719.024916
4,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,723.200092
5,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,720.271967
6,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,726.424303
7,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,721.650655
8,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,730.939897
9,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,715.947803
10,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,720.830899
11,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,719.182811
12,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,725.836398
13,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,714.78649
14,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,723.237216
15,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,715.846743
16,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,726.733969
17,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,718.007614
18,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,721.728023
19,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,718.698383
20,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,723.122713
21,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3164.0,4096.0,712.772576
22,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2900.0,3072.0,727.810338
23,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,717.054204
24,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,718.485619
25,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,786.722545
26,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,717.73532
27,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,717.489513
28,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,719.760285
29,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,716.866939
30,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2108.0,3072.0,720.858783
1,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,782.451095
2,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,789.339243
3,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,781.898283
4,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,790.669122
5,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,788.61005
6,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,789.875749
7,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,788.031704
8,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,792.83756
9,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,790.723799
10,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,791.051283
11,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,784.569443
12,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,791.836787
13,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,783.662034
14,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,794.719707
15,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,784.555608
16,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,794.711996
17,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,782.986716
18,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,792.774581
19,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,784.98688
20,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,790.396938
21,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,786.280194
22,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,789.802163
23,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,785.950769
24,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,787.233292
25,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,789.713353
26,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,791.250715
27,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,787.657353
28,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,788.12634
29,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,786.993946
30,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,2636.0,3072.0,793.356314
1,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,771.056387
2,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,777.99065
3,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,769.880279
4,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,774.324311
5,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,773.182042
6,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,777.660649
7,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,772.34409
8,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,782.038929
9,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,776.667197
10,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,782.87986
11,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,776.080295
12,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,781.422427
13,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,768.335751
14,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,777.642204
15,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,770.286033
16,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,776.793628
17,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,3164.0,3584.0,772.38336
18,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,781.019425
19,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,774.531084
20,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,789.881232
21,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,778.261382
22,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,3692.0,4096.0,786.410643
23,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,781.757189
24,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,783.940031
25,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,784.475901
26,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,782.587196
27,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,778.312972
28,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,777.95254
29,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,1580.0,2048.0,773.397224
30,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2636.0,3072.0,776.306914
1,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,721.188133
2,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,721.542568
3,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,723.68466
4,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.294446
5,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,725.844967
6,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,723.130479
7,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.19895
8,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.124116
9,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,722.477965
10,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,718.75624
11,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,719.780929
12,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,717.373436
13,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,718.014796
14,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,721.290892
15,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,715.735906
16,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,716.464406
17,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.643345
18,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.645654
19,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,718.069937
20,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,718.631359
21,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,717.904097
22,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,721.846599
23,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,719.352009
24,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.75931
25,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,721.710698
26,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,719.836688
27,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,719.813871
28,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,725.980349
29,4,0.25,300,420.0214280248092,-,488.2152954766509,92326,1,9280.56640625,2108.0,3072.0,720.085309
