Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48865.78125,59132.0,59392.0,15193.873438
2,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,3956.0,4096.0,15204.186158
3,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15507.922811
4,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15379.46075
5,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15687.074156
6,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15510.907457
7,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15526.995428
8,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15592.0436
9,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15698.846271
10,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15937.66347
11,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,20588.0,20708.0,16027.602801
12,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,18476.0,18432.0,16008.298719
13,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,16892.0,16864.0,15881.073809
14,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,14252.0,14368.0,15743.164515
15,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15740.537461
16,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15820.077419
17,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15805.443674
18,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15984.763432
19,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15771.978178
20,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15743.470191
21,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15912.833871
22,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,21116.0,21220.0,15807.909509
23,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15815.315785
24,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15906.853527
25,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15951.212777
26,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15933.167613
27,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,16132.670514
28,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15799.588353
29,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15914.875844
30,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15945.573949
1,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,22700.0,22500.0,16095.435162
2,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16126.423344
3,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,260.0,0.0,16274.623876
4,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16266.367266
5,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,260.0,0.0,16063.634795
6,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,260.0,0.0,16105.152394
7,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16295.924332
8,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16300.378475
9,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16253.907307
10,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16628.0,16384.0,16151.762339
11,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16293.830782
12,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16397.247245
13,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16316.77316
14,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16201.157902
15,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16403.795111
16,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16628.0,16384.0,16338.046498
17,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16677.681158
18,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16311.222281
