Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4273.3125,2640.0,3072.0,6392.201093
2,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,524.0,0.0,6388.154654
3,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6442.893055
4,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6461.811771
5,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6415.258221
6,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6453.647488
7,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6479.663262
8,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,260.0,0.0,6439.203258
9,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6429.737604
10,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6414.817358
11,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6456.362602
12,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6524.706155
13,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6411.81821
14,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6450.188598
15,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6419.960567
16,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6467.187055
17,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6475.021525
18,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6468.50543
19,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6481.150654
20,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6516.393308
21,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6478.805738
22,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6455.24445
23,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6441.723042
24,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6447.878372
25,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6440.097755
26,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6486.605722
27,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6485.873803
28,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6446.375944
29,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6453.847738
30,1,0.25,300,420.0214280248092,-,489.7300141024123,36738,2,4171.6328125,0.0,0.0,6404.661974
1,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7072.096525
2,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7118.174651
3,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7120.621773
4,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7117.542151
5,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7083.065512
6,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7171.427637
7,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7132.573806
8,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7117.772042
9,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7099.551533
10,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7128.514406
11,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7070.682796
12,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7119.582035
13,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7105.441628
14,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7053.357429
15,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7098.230269
16,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7085.611731
17,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7138.403112
18,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7123.211522
19,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7069.798653
20,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7076.550628
21,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7105.946843
22,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7115.903742
23,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7133.189996
24,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7068.322125
25,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7114.052544
26,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7131.822768
27,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7105.436979
28,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7082.032066
29,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7123.016437
30,2,0.25,300,420.0214280248092,-,496.75945135393516,39949,2,4394.140625,0.0,0.0,7116.206628
1,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6985.388386
2,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6953.470771
3,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6977.035943
4,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6986.948716
5,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6976.276499
6,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6935.552094
7,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6918.414297
8,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6963.704252
9,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6953.590746
10,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6958.83589
11,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6998.414602
12,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7008.991377
13,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7007.996404
14,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6924.268863
15,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6963.842183
16,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6986.530262
17,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7030.713423
18,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6979.044371
19,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7026.778568
20,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6954.910862
21,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7021.434108
22,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7033.909698
23,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7055.768754
24,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6967.326848
25,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6951.338071
26,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6980.45678
27,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6967.517787
28,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7011.95843
29,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,7023.337832
30,3,0.25,300,420.0214280248092,-,494.4163056034275,39281,2,4349.44921875,0.0,0.0,6967.747965
1,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6485.243347
2,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6524.217382
3,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6976.480563
4,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6970.050261
5,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6997.345096
6,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6924.607596
7,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6934.996246
8,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6948.080297
9,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6976.501965
10,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6918.715098
11,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6919.395204
12,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6967.220353
13,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6913.583953
14,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6936.259378
15,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,7003.82118
16,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,7031.503788
17,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6998.733196
18,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,7020.201414
19,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6937.826753
20,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6907.227573
21,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6878.629893
22,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6919.792436
23,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6936.379706
24,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6927.437465
25,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,7027.201408
26,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6907.128289
27,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6922.771142
28,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6911.515104
29,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6889.700785
30,4,0.25,300,420.0214280248092,-,488.5584412271586,36518,2,4163.57421875,0.0,0.0,6904.608678
1,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7426.124378
2,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7388.315039
3,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7418.403823
4,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7405.117244
5,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7330.301816
6,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7346.301832
7,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7370.565797
8,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7584.628708
9,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7456.694584
10,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7347.036787
11,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7414.055942
12,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7350.370662
13,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7353.647434
14,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7358.20383
15,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7381.42856
16,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7369.001887
17,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7419.703643
18,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7463.066007
19,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7353.114676
20,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7462.520651
21,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7468.252879
22,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7351.096133
23,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7453.725828
24,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7356.527233
25,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7403.887604
26,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7367.103744
27,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7385.121083
28,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7402.660261
29,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7388.838431
30,5,0.25,300,420.0214280248092,-,496.7594513539351,39462,2,4345.69140625,0.0,0.0,7409.521157
1,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7057.795164
2,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7068.04375
3,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7084.974109
4,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7108.168644
5,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7128.516623
6,6,0.25,300,420.0214280248092,-,490.5584412271586,37557,2,4227.734375,0.0,0.0,7186.97871
