Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,22964.0,23040.0,3675.762075
2,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3793.469991
3,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3897.269584
4,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3882.029803
5,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3941.934261
6,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3969.863293
7,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3930.310987
8,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3875.508195
9,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3897.659751
10,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3872.08569
11,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3867.142009
12,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3859.406645
13,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,4116.963696
14,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3871.949062
15,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3872.874487
16,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3860.130177
17,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7652.0,8192.0,3913.3138
18,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,7388.0,7168.0,3852.103404
19,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3856.587211
20,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3856.7537
21,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3848.758542
22,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3848.675282
23,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3887.374909
24,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3853.824568
25,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3856.626851
26,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3849.220471
27,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3845.059266
28,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3856.330368
29,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3861.661542
30,1,0.25,300,420.0214280248092,250,452.080302527857,3298,14,12786.78125,6596.0,7168.0,3855.90774
1,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6860.0,7168.0,6380.655477
2,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6404.267487
3,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6408.538581
4,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6410.300427
5,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6380.424041
6,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6441.626937
7,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6405.172803
8,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6387.353009
9,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6382.905096
10,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6391.846208
11,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6360.283297
12,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6860.0,7168.0,6395.200806
13,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6399.84045
14,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6387.367524
15,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6436.478211
16,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6447.700018
17,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6399.516267
18,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6454.236718
19,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6378.891518
20,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6368.383263
21,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6420.546778
22,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6379.255567
23,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6395.088597
24,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6383.46228
25,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6391.614206
26,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6403.85397
27,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6387.93822
28,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6368.070865
29,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6426.305989
30,2,0.25,300,420.0214280248092,250,470.4234482783646,5236,21,12905.125,6596.0,7168.0,6388.89134
1,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4784.505155
2,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4816.088229
3,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4787.626555
4,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4785.204973
5,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4781.268285
6,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4799.597844
7,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4770.097705
8,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4871.364569
9,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4769.943022
10,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4800.537697
11,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4791.705884
12,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4838.485946
13,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4812.035589
14,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4858.828553
15,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4778.753349
16,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4786.768105
17,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4795.385501
18,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4793.661694
19,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4772.586689
20,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4771.008397
21,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,6596.0,7168.0,4864.29375
22,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,5540.0,6144.0,4821.116731
23,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4782.58433
24,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4794.321015
25,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4807.114856
26,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4785.528087
27,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4791.257743
28,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,4748.0,5120.0,4889.313276
29,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,5540.0,6144.0,4786.504441
30,3,0.25,300,420.0214280248092,250,456.66608896548394,4047,17,12821.63671875,5540.0,6144.0,4787.664023
1,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4054.598913
2,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4172.528571
3,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4181.999602
4,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4081.792197
5,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4055.634482
6,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4044.027041
7,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4067.318389
8,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4059.204466
9,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4101.962094
10,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4087.124569
11,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4080.697592
12,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4046.833405
13,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4052.91647
14,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4065.424619
15,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4060.542707
16,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4044.966045
17,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4064.430419
18,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4043.741501
19,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4063.592549
20,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4089.959039
21,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4072.559602
22,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4066.656585
23,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4067.631717
24,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4109.32141
25,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4096.512757
26,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4035.445868
27,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4102.998398
28,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4047.951501
29,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4110.117216
30,4,0.25,300,420.0214280248092,250,457.8376618407377,3590,15,12796.390625,5540.0,6144.0,4036.702805
1,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,5540.0,6144.0,4720.22922
2,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4649.781074
3,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4609.868593
4,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4661.457754
5,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4688.387448
6,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4687.53264
7,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4639.985136
8,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4633.864417
9,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4622.522001
10,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4639.81618
11,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4636.431021
12,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4722.917346
13,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4638.709413
14,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4665.147426
15,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4650.098606
16,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4643.19413
17,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4657.607126
18,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4633.825384
19,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4641.439828
20,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4655.982674
21,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4687.676264
22,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4632.820166
23,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4617.325835
24,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4623.939991
25,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4650.096497
26,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4617.318335
27,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4620.527668
28,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4634.055526
29,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4611.229462
30,5,0.25,300,420.0214280248092,250,455.8376618407377,3622,15,12807.54296875,6596.0,7168.0,4639.754438
1,6,0.25,300,420.0214280248092,250,448.080302527857,3299,14,12799.0234375,6596.0,7168.0,5152.317538
2,6,0.25,300,420.0214280248092,250,448.080302527857,3299,14,12799.0234375,5540.0,6144.0,5125.269392
3,6,0.25,300,420.0214280248092,250,448.080302527857,3299,14,12799.0234375,5540.0,6144.0,5114.737341
4,6,0.25,300,420.0214280248092,250,448.080302527857,3299,14,12799.0234375,5540.0,6144.0,5124.693384
5,6,0.25,300,420.0214280248092,250,448.080302527857,3299,14,12799.0234375,5540.0,6144.0,5107.82973
