Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),420.0214280248092,2466.3121039666667,2475.253287,84.76813340804759,2308.668485,2622.860576
ARA*,Execution time (ms),339.4112549695428,1973.2566978666669,1975.635972,76.04589139196113,1805.326197,2299.713066
ARA*,Execution time (ms),254.55844122715712,1097.5597118033334,1120.606942,99.3986331070987,937.39286,1297.530304
ARA*,Execution time (ms),169.7056274847714,376.84932699666666,368.10609850000003,37.14423265373754,326.78955,460.897478
ARA*,Execution time (ms),84.8528137423857,70.32570143666666,73.248091,7.375021514522229,56.808147,81.121008
ARA*,Execution time (ms),28.284271247461906,6.24696723,5.9164615,1.9007760271287502,4.28633,11.83958
RTAA**,Execution time (ms),420.0214280248092,302.76990767666666,301.092346,17.03257965528607,276.656155,349.42024
RTAA**,Execution time (ms),339.4112549695428,267.58561588000003,270.2740975,16.526494436025736,231.398033,316.256733
RTAA**,Execution time (ms),254.55844122715712,249.40728425999995,251.66824350000002,17.899083141860434,208.623807,312.366885
RTAA**,Execution time (ms),169.7056274847714,207.12559130666665,203.383357,14.19421067524639,186.835558,248.444677
RTAA**,Execution time (ms),84.8528137423857,160.65803191999998,160.26712199999997,8.640276258690374,142.793615,211.930447
RTAA**,Execution time (ms),28.284271247461906,138.89691069333333,138.979197,3.28891795909799,130.92937,147.062847
LRTA*,Execution time (ms),420.0214280248092,4899.374785586667,4904.3040249999995,885.1380893871662,3438.390759,6454.236718
LRTA*,Execution time (ms),339.4112549695428,3457.1200521433334,3528.919668,690.1845327253667,2423.321752,4971.056214
LRTA*,Execution time (ms),254.55844122715712,2631.618200823333,2578.9210574999997,621.9394646242074,1296.889187,5692.015196
LRTA*,Execution time (ms),169.7056274847714,1659.6726892333334,1529.7718559999998,548.9598631058368,917.050447,2528.81773
LRTA*,Execution time (ms),84.8528137423857,715.29112555,516.2119305,376.2145623852538,438.291441,1879.62876
LRTA*,Execution time (ms),28.284271247461906,129.64678573666666,128.74955549999999,5.971675335581251,122.899175,183.205183
D*,Execution time (ms),420.0214280248092,16309.158069806666,16276.136075999999,783.5492039007704,15193.873438,26356.446994
D*,Execution time (ms),339.4112549695428,16049.22366862,16062.543796,487.27192683113907,14956.715359,17028.777826
D*,Execution time (ms),254.55844122715712,14948.047581883331,14944.168295,303.7479958248119,14368.461306,15611.820832
D*,Execution time (ms),169.7056274847714,11776.396148419999,11767.992738,256.5271955255422,11234.577156,12521.883433
D*,Execution time (ms),84.8528137423857,3570.921274863333,3608.976953,238.0482693309177,3131.715233,4198.862926
D*,Execution time (ms),28.284271247461906,462.48531832333333,458.509452,25.893074686990154,429.218785,543.2676
D* Lite,Execution time (ms),420.0214280248092,3993.7496665699996,4080.6487545,392.2103625084975,3197.01679,4681.382117
D* Lite,Execution time (ms),339.4112549695428,2937.6622539233335,2871.909297,265.1944090367182,2535.564225,3350.891899
D* Lite,Execution time (ms),254.55844122715712,1365.6473534733334,1368.6368364999998,126.30620262211971,1172.15833,1577.185686
D* Lite,Execution time (ms),169.7056274847714,681.4229135800001,698.815604,52.383828595360605,581.435017,753.20288
D* Lite,Execution time (ms),84.8528137423857,170.7569924,165.44026350000001,26.578177647794146,134.612468,231.755008
D* Lite,Execution time (ms),28.284271247461906,46.78903620333334,48.3452635,4.71564800743109,35.052456,53.230492
LPA*,Execution time (ms),420.0214280248092,7001.105393139999,7026.5364535,316.51356705689176,6388.154654,7628.04422
LPA*,Execution time (ms),339.4112549695428,5303.877872146666,5239.7896325,463.6873072712025,4640.811105,9251.540542
LPA*,Execution time (ms),254.55844122715712,2929.651286856667,2953.093973,256.1031020582813,2447.290678,3446.231738
LPA*,Execution time (ms),169.7056274847714,1240.9658894866668,1219.1673985,114.16829962836587,1058.448739,1459.133025
LPA*,Execution time (ms),84.8528137423857,303.3207105033334,309.3607505,33.96815547709149,252.243044,380.798257
LPA*,Execution time (ms),28.284271247461906,61.38596335,59.601065500000004,10.634454909554066,48.055563,99.694523
ARA*,Path cost,420.0214280248092,492.7903171404453,492.65894629054685,2.786708043652524,488.2152954766509,496.7594513539352
ARA*,Path cost,339.4112549695428,399.7413705948105,398.98989873223434,1.9876029533471966,396.7178207935921,403.5046173579957
ARA*,Path cost,254.55844122715712,300.5510026929383,300.19953083036216,3.5203653804693578,295.5634918610411,305.6639969244294
ARA*,Path cost,169.7056274847714,202.13809511662444,201.7523086789975,1.9403131164317078,199.23759005323612,205.6812408671321
ARA*,Path cost,84.8528137423857,102.31757569573594,102.66904755831207,2.2777093612820662,98.32590180780446,105.74011537017752
ARA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.1671791986451243,32.38477631085024,39.31370849898475
RTAA**,Path cost,420.0214280248092,459.64212075605485,461.1391770309026,4.715503451340173,450.1391770309026,465.068109219037
RTAA**,Path cost,339.4112549695428,373.50545417441737,374.913780286486,4.363607361406895,365.9137802864859,379.77164466275485
RTAA**,Path cost,254.55844122715712,277.1462479183381,277.13203435596506,3.784850759667709,271.4457428549498,283.3036072312188
RTAA**,Path cost,169.7056274847714,186.02135623730976,185.885822331377,2.8275721613573253,180.8355697996828,190.0071426749367
RTAA**,Path cost,84.8528137423857,90.31484117468894,90.41778489984122,1.4661360185681025,87.78174593052015,92.4680374315354
RTAA**,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.4730652247341744,28.870057685088817,30.62741699796953
LRTA*,Path cost,420.0214280248092,458.37908319697505,456.25187540311083,8.015339150894523,448.080302527857,470.4234482783646
