Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,29704.0,30852.0,2747.6984
2,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,23988.0,25716.0,2676.8157
3,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,26456.0,28120.0,2698.6833
4,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,25080.0,24784.0,2770.7171
5,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,20552.0,21716.0,2718.9428
6,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,25512.0,27516.0,2655.2628
7,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,25216.0,26424.0,2796.7316
8,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,24388.0,25264.0,2775.13
9,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,26808.0,29164.0,2735.5966
10,1,0.25,300,594,-,492.3158005400393,78792,5,13683.5703125,20100.0,20316.0,3041.9252
1,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,18836.0,19976.0,2319.7576
2,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,18748.0,20320.0,2389.3003
3,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,17852.0,18992.0,2431.4333
4,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,18508.0,19656.0,2361.5576
5,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,19052.0,20492.0,2269.8225
6,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,18440.0,19608.0,2318.5246
7,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,19624.0,20968.0,2245.7865
8,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,18208.0,19280.0,2368.8895
9,2,0.25,300,480,-,404.33304448274197,66860,5,10015.587890625,20100.0,22140.0,2693.3554
10,2,0.25,300,480,-,404.33304448274197,66860,5,10015.5390625,13916.0,14996.0,2730.332
1,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,7696.0,8460.0,1314.0611
2,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12676.0,14156.0,1279.7537
3,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12336.0,13756.0,1252.882
4,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,11948.0,13348.0,1198.9418
5,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12372.0,13724.0,1253.2554
6,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,8680.0,9624.0,1230.1091
7,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12132.0,13464.0,1193.3466
8,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12144.0,13372.0,1359.8642
9,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,12176.0,13604.0,1243.2061
10,3,0.25,300,360,-,302.24978336205623,38824,5,7722.25,11728.0,12980.0,1300.6171
1,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4640.0,4932.0,532.1115
2,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4228.0,4516.0,523.0894
3,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4060.0,4116.0,535.1811
4,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,3916.0,4340.0,523.4112
5,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4032.0,4204.0,532.1015
6,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,3952.0,4152.0,561.4198
7,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4168.0,4192.0,578.8749
8,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4084.0,4152.0,523.8845
9,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4096.0,4300.0,535.4541
10,4,0.25,300,240,-,206.50966799187827,19664,5,3240.1015625,4220.0,4292.0,533.176
1,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,860.0,1156.0,112.0013
2,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,1044.0,1272.0,94.1049
3,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,95.6703
4,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,96.982
5,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,1144.0,1320.0,96.0036
6,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,99.0371
7,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,97.8063
8,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,97.7872
9,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,99.9615
10,5,0.25,300,120,-,101.8406204335659,4981,5,832.0625,0.0,0.0,92.5146
1,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,11.815
2,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,10.8099
3,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,11.2403
4,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,10.515
5,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,11.589
6,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,10.6999
7,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,13.3667
8,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,13.836
9,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,19.3623
10,6,0.25,300,40,-,36.72792206135786,675,5,111.421875,0.0,0.0,17.5295
