Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,13196.0,13520.0,776.641405
2,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,770.870371
3,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,778.335037
4,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,783.297488
5,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,776.868939
6,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,781.83051
7,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,777.158845
8,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,2372.0,3072.0,775.900329
9,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,776.721515
10,1,0.25,300,420.0214280248092,-,489.73001410241227,92464,1,9297.546875,3428.0,4096.0,768.529396
1,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,849.259696
2,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,847.608905
3,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,849.375067
4,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,842.811288
5,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,844.299437
6,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,847.725745
7,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,847.797621
8,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,852.361498
9,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,851.6346
10,2,0.25,300,420.0214280248092,-,496.75945135393505,100474,1,9844.39453125,3956.0,5120.0,846.676122
1,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,3956.0,5120.0,833.626955
2,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,3956.0,5120.0,832.872338
3,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,3956.0,5120.0,842.546754
4,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2900.0,4096.0,830.995879
5,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2900.0,4096.0,838.124656
6,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2900.0,4096.0,843.528654
7,3,0.25,300,420.0214280248092,-,494.41630560342753,98948,1,9742.71875,2900.0,4096.0,840.242248
