Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,22104.0,22464.0,1028.7097
2,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,15576.0,15632.0,1032.605
3,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,18788.0,19756.0,1010.9187
4,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,12740.0,14604.0,1005.8911
5,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,17524.0,20084.0,1019.1017
6,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,17136.0,18556.0,1021.5811
7,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,17036.0,18256.0,1019.6273
8,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,17076.0,18632.0,1066.6782
9,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,16408.0,18452.0,1088.0026
10,1,0.25,300,594,-,492.3158005400393,99428,1,9736.97265625,16160.0,17320.0,1033.8596
1,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,14148.0,16388.0,840.9639
2,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12804.0,13868.0,860.28
3,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,13180.0,14400.0,830.4751
4,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12832.0,14148.0,861.0065
5,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12396.0,13532.0,808.4262
6,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12604.0,14892.0,844.954
7,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12572.0,13900.0,820.7644
8,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12488.0,13820.0,828.7332
9,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12552.0,14216.0,840.7106
10,2,0.25,300,480,-,404.33304448274197,81526,1,8567.75390625,12664.0,13920.0,838.5063
1,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6272.0,6820.0,413.8605
2,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6508.0,7044.0,416.4206
3,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6384.0,6496.0,415.8901
4,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6528.0,7024.0,449.9396
5,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,5716.0,6148.0,644.1516
6,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,5672.0,6012.0,617.1246
7,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,5580.0,5840.0,542.8779
8,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,5536.0,5816.0,663.0036
9,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6032.0,6452.0,525.7622
10,3,0.25,300,360,-,302.24978336205623,41126,1,4292.6015625,6184.0,6580.0,421.0648
1,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2172.0,2400.0,234.3773
2,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2648.0,2852.0,212.7541
3,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2852.0,3316.0,225.2928
4,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2932.0,3376.0,229.2165
5,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2980.0,3344.0,227.4516
6,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2984.0,3432.0,241.0895
7,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,2984.0,3380.0,210.2162
8,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,3004.0,3408.0,230.1373
9,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,3012.0,3412.0,214.1224
10,4,0.25,300,240,-,206.50966799187827,21748,1,2173.6640625,3000.0,3260.0,217.5609
1,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,716.0,852.0,52.0168
2,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,128.0,64.0,49.0894
3,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,40.0,36.0,50.5401
4,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,52.4537
5,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,4.0,0.0,49.8293
6,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,52.549
7,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,49.1883
8,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,51.8584
9,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,51.0584
10,5,0.25,300,120,-,101.8406204335659,4866,1,535.4140625,0.0,0.0,52.085
1,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.2392
2,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,5.6254
3,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,5.9097
4,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.0538
5,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.0745
6,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.1419
7,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.3646
8,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.3507
9,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,5.8676
10,6,0.25,300,40,-,36.72792206135786,550,1,77.7890625,0.0,0.0,6.0645
