Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48865.78125,57020.0,57344.0,15947.770259
2,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,1844.0,2048.0,16233.447573
3,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,0.0,0.0,15786.342799
4,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,18212.0,18148.0,15615.279162
5,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15963.84431
6,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15746.618529
7,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15963.055902
8,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,21116.0,21220.0,15865.06706
9,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,51212.0,51200.0,16156.585053
10,1,0.25,300,420.0214280248092,-,489.7300141024123,396097,66135,48754.1640625,260.0,0.0,15994.373672
1,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,22436.0,22500.0,16031.473309
2,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,51212.0,51200.0,16029.997824
3,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16321.448886
4,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,17420.0,17380.0,16105.085937
5,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16176.230565
6,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,0.0,0.0,16138.267917
7,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,16078.079637
8,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,15931.482593
9,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,15818.609692
10,2,0.25,300,420.0214280248092,-,496.7594513539351,396116,66104,48754.0,16364.0,16384.0,15916.396972
1,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15723.912475
2,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15800.611241
3,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15553.23819
4,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15481.729136
5,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15572.939741
6,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15556.684603
7,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15512.540897
8,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15584.509677
9,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15652.812381
10,3,0.25,300,420.0214280248092,-,494.41630560342753,395891,66131,48784.7421875,16364.0,16384.0,15564.238629
1,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,16364.0,16384.0,15403.549163
2,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,16364.0,16384.0,15166.427772
3,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,16364.0,16384.0,15217.385061
4,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,21644.0,21504.0,15106.756294
5,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,16364.0,16384.0,15121.91964
6,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,11348.0,11264.0,15106.161281
7,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,21644.0,21504.0,15221.723827
8,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,11348.0,11264.0,15050.008926
9,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,21644.0,21504.0,15570.604667
10,4,0.25,300,420.0214280248092,-,488.21529547665097,396387,66146,48782.5,11348.0,11264.0,15260.376329
1,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,21644.0,21504.0,14575.829811
2,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,11348.0,11264.0,14272.468748
3,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,20720.0,20480.0,14421.014821
4,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,11348.0,11264.0,14461.05521
5,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,26660.0,26624.0,14689.346946
6,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,6068.0,6144.0,14465.604911
7,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,16364.0,16384.0,14456.740019
8,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,26660.0,26624.0,14369.499843
9,5,0.25,300,420.0214280248092,-,496.7594513539351,396405,66183,48755.6953125,6068.0,6144.0,14533.503401
