Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,-,436.42344827836456,16021,1,1712.125,2256.0,2016.0,5533.0655
2,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,1716.0,1604.0,5386.2667
3,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,2636.0,2432.0,5378.217
4,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,2648.0,2552.0,5341.5123
5,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,1400.0,1092.0,5360.7926
6,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,2108.0,1740.0,5397.7703
7,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,2068.0,1920.0,5242.2438
8,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,2468.0,1960.0,5314.0421
9,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,1552.0,1384.0,5295.3683
10,1,0.25,300,594,-,436.42344827836456,16021,1,1612.5234375,976.0,648.0,5237.1188
1,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,1296.0,1140.0,4327.6325
2,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,824.0,968.0,4304.8795
3,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,828.0,796.0,4292.5167
4,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,2244.0,2680.0,4348.9041
5,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,1120.0,1044.0,4532.5134
6,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,1200.0,1184.0,4331.1591
7,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,196.0,60.0,4275.7765
8,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,608.0,488.0,4388.5394
9,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,1204.0,1040.0,4432.4029
10,2,0.25,300,480,-,356.64170234784376,13413,1,1384.76953125,844.0,804.0,4304.2368
1,3,0.25,300,360,-,267.6883835420691,8163,1,981.47265625,628.0,532.0,2493.4677
2,3,0.25,300,360,-,267.6883835420691,8163,1,981.47265625,1120.0,948.0,2492.6914
