Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,-,492.3158005400392,396471,66204,48863.26171875,39660.0,39008.0,14655.3492
2,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39048.0,38936.0,14621.095
3,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39876.0,39004.0,14566.1128
4,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,61068.0,65544.0,14439.2639
5,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39204.0,39000.0,14435.6457
6,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39184.0,39008.0,14660.1053
7,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,54720.0,58520.0,14500.2283
8,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39544.0,38976.0,16435.7791
9,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,39412.0,39036.0,18897.87
10,1,0.25,300,594,-,492.3158005400392,396471,66204,48753.80859375,58196.0,62064.0,16137.8002
1,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,38276.0,37972.0,14844.8872
2,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39492.0,39012.0,14783.0298
3,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39552.0,39044.0,14550.6059
4,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39484.0,39012.0,14522.3888
5,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39456.0,38976.0,15306.3796
6,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39444.0,39012.0,14589.9778
7,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39368.0,38936.0,14853.0552
8,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39468.0,39008.0,14803.4734
9,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39412.0,39000.0,14695.8248
10,2,0.25,300,480,-,404.3330444827419,388871,64819,48681.984375,39432.0,39008.0,15032.7032
1,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,55116.0,57628.0,14726.4337
2,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39364.0,39040.0,14768.2569
3,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39416.0,39008.0,14817.5278
4,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39552.0,39008.0,14553.5935
5,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39380.0,39008.0,15054.9051
6,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39316.0,39004.0,14826.5737
7,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39212.0,39012.0,14671.5985
8,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39252.0,39004.0,14611.6205
9,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39364.0,39088.0,14748.052
10,3,0.25,300,360,-,302.2497833620563,364918,60774,48500.375,39144.0,38976.0,17192.6391
1,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39288.0,39052.0,11857.0929
2,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39440.0,39012.0,12175.512
3,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39732.0,39016.0,11391.3347
4,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39784.0,39012.0,11248.2258
5,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39784.0,39012.0,11527.3939
6,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39792.0,39012.0,11357.8886
7,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39780.0,39012.0,12149.2408
8,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39744.0,39012.0,11314.2972
9,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39736.0,39012.0,11260.5391
10,4,0.25,300,240,-,206.50966799187825,280495,46800,47668.046875,39736.0,39012.0,11251.2199
1,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,28804.0,28748.0,3391.1902
2,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,28784.0,28744.0,3337.5963
3,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,29592.0,28748.0,3362.0257
4,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,28756.0,28748.0,3592.5631
5,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,42068.0,43168.0,3389.2571
6,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,29116.0,28748.0,3367.5045
7,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,29684.0,28748.0,3386.8761
8,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,28856.0,28724.0,5601.8334
9,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,29652.0,28720.0,5464.3847
10,5,0.25,300,120,-,101.84062043356589,103299,17193,44101.39453125,29596.0,28744.0,4744.1358
1,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,29636.0,28748.0,542.2843
2,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,43972.0,46064.0,598.4426
3,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,29524.0,28776.0,549.6297
4,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,28812.0,28744.0,565.5866
5,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,29168.0,28744.0,548.7797
6,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,28904.0,28752.0,534.0607
7,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,29312.0,28744.0,558.0323
8,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,28892.0,28740.0,537.6069
9,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,28812.0,28744.0,530.943
10,6,0.25,300,40,-,36.72792206135786,11613,1909,42778.45703125,28824.0,28744.0,541.8144
