Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,-,492.3158005400392,39265,2,4441.91796875,5924.0,5764.0,9826.7085
2,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,6300.0,5992.0,10183.0898
3,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,7036.0,7100.0,9638.5382
4,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,6084.0,6256.0,9902.4758
5,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,5532.0,5328.0,9688.5939
6,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,4724.0,4544.0,9872.7395
7,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,4304.0,3904.0,9754.8043
8,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,4792.0,5048.0,9669.2816
9,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,4416.0,4144.0,9691.8628
10,1,0.25,300,594,-,492.3158005400392,39265,2,4342.42578125,4012.0,3632.0,9822.3639
1,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4472.0,4320.0,8019.1877
2,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4568.0,4312.0,8043.6566
3,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4304.0,4096.0,8113.7039
4,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,3752.0,3220.0,8107.7396
5,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4056.0,3744.0,8060.7838
6,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4556.0,4336.0,8112.115
7,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,3728.0,3352.0,8161.8645
8,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4808.0,4564.0,8106.7882
9,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4852.0,4288.0,8142.9041
10,2,0.25,300,480,-,404.3330444827419,32466,2,3873.78125,4188.0,3604.0,8467.7392
1,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,2036.0,1704.0,4051.6269
2,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1308.0,636.0,4215.3419
3,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1812.0,1784.0,4090.3773
4,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1940.0,1448.0,4047.6253
5,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1772.0,1792.0,3975.3218
6,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,640.0,520.0,4051.9755
7,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1772.0,1792.0,3907.1138
8,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,640.0,520.0,4007.6713
9,3,0.25,300,360,-,302.2497833620563,16527,2,1433.28125,1772.0,1792.0,4001.3636
