Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,25492.0,27396.0,5291.0079
2,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,21408.0,23708.0,5301.2998
3,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,20412.0,22640.0,5267.1326
4,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,20408.0,22192.0,5252.7948
5,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,20116.0,22592.0,5316.1791
6,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,19952.0,22188.0,5195.5375
7,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,20296.0,22624.0,5229.5157
8,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,20060.0,22372.0,5256.563
9,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,21508.0,24016.0,5248.0152
10,1,0.25,300,594,250,447.3523804664991,3009,13,12763.9296875,21536.0,23648.0,5159.0311
1,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21120.0,23288.0,4288.6577
2,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21236.0,23380.0,4314.0036
3,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21600.0,23876.0,4170.8472
4,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,20888.0,23084.0,4227.0906
5,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21132.0,23616.0,4317.2439
6,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21072.0,23516.0,4293.5999
7,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21280.0,23340.0,4304.8842
8,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21044.0,22848.0,4307.6337
9,2,0.25,300,480,250,365.57063453597823,2523,11,12707.4453125,21584.0,23268.0,4223.0818
