Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.25,300,594,250,463.06810921903707,6718,27,13016.76953125,28000.0,29616.0,399.0971
2,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,23456.0,25348.0,398.8905
3,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,22100.0,24112.0,400.2249
4,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21356.0,23576.0,397.6926
5,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21144.0,22896.0,397.4406
6,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21616.0,23444.0,403.3278
7,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21616.0,23836.0,393.1555
8,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21664.0,24008.0,402.9822
9,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,21332.0,23256.0,385.1421
10,1,0.25,300,594,250,463.06810921903707,6718,27,13016.83984375,22184.0,24200.0,382.0868
1,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21132.0,23032.0,333.1837
2,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21680.0,23860.0,314.071
3,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21524.0,23668.0,321.3216
4,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21992.0,24088.0,321.9747
5,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21836.0,23772.0,314.6059
6,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21444.0,23092.0,312.7152
7,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21684.0,23796.0,313.7259
8,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,22748.0,25044.0,315.4453
9,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,21808.0,24276.0,323.8301
10,2,0.25,300,480,250,368.6000717875011,5089,21,12869.48828125,22512.0,24648.0,323.6474
1,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22008.0,24436.0,282.1266
2,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22184.0,24324.0,271.77
3,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22836.0,24708.0,276.567
4,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22552.0,24540.0,278.4362
5,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,23028.0,24916.0,280.647
6,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22540.0,24780.0,275.9245
7,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22832.0,24732.0,275.8562
8,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22812.0,25088.0,276.7142
9,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,23016.0,24972.0,280.6706
10,3,0.25,300,360,250,277.0609665440996,3896,16,12781.7734375,22860.0,25160.0,274.711
1,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,23144.0,25608.0,211.3664
2,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22464.0,25132.0,199.2778
3,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,23132.0,25240.0,194.0075
4,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22128.0,24320.0,199.5315
5,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22984.0,25496.0,197.2517
6,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22944.0,25384.0,199.8194
7,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22572.0,24872.0,198.1714
8,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22460.0,24640.0,201.8248
9,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22860.0,25556.0,196.1067
10,4,0.25,300,240,250,181.07821048680208,1871,8,12647.796875,22140.0,24664.0,197.3002
1,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22340.0,24840.0,161.9373
2,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22360.0,23516.0,159.0832
3,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22532.0,23332.0,160.6091
4,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22288.0,24320.0,162.6154
5,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22172.0,23428.0,161.2861
6,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22564.0,23808.0,160.317
7,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,16544.0,16420.0,159.4969
8,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,16480.0,16420.0,169.2136
9,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22296.0,23756.0,157.5761
10,5,0.25,300,120,250,89.53910524340085,861,4,12579.28125,22444.0,23704.0,166.4577
1,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,21904.0,23124.0,143.8802
2,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,16424.0,17444.0,140.5873
3,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,16384.0,17444.0,139.6587
4,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,21772.0,24444.0,138.8376
5,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,22440.0,25104.0,139.5037
6,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,21972.0,24628.0,136.4612
7,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,16400.0,17444.0,134.737
8,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,16384.0,17444.0,133.1914
9,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,22172.0,24880.0,137.4217
10,6,0.25,300,40,250,31.798989873223338,183,1,12527.27734375,16384.0,17444.0,139.0319
