Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
A*,Execution time (ms),420.0214280248092,812.8483866700001,826.433778,32.6046241269438,751.144608,858.167547
A*,Execution time (ms),339.4112549695428,609.29481608,609.353703,26.792949719870432,539.828718,659.886608
A*,Execution time (ms),254.55844122715712,345.40992415999995,345.531113,26.430441827804113,296.074639,428.710401
A*,Execution time (ms),169.7056274847714,153.14746565,149.44985150000002,15.582120918404073,128.719596,200.921735
A*,Execution time (ms),84.8528137423857,36.01182458,36.408154499999995,4.717773305336641,29.763229,53.258988
A*,Execution time (ms),28.284271247461906,3.93246408,3.5822675,1.490446166571212,2.340013,8.195832
ARA*,Execution time (ms),420.0214280248092,2618.3751737599996,2617.8142675,94.82896852514065,2438.727831,2809.233011
ARA*,Execution time (ms),339.4112549695428,2011.21297485,2018.133523,86.53634296278146,1816.952125,2171.262564
ARA*,Execution time (ms),254.55844122715712,1104.32953443,1110.9842055,102.41065271543646,943.28826,1292.40946
ARA*,Execution time (ms),169.7056274847714,381.8200817600001,375.91774399999997,36.21257001678265,336.423996,461.717452
ARA*,Execution time (ms),84.8528137423857,71.91505928,74.78024500000001,7.50491616197462,58.4893,81.64272
ARA*,Execution time (ms),28.284271247461906,6.395205280000002,6.00511,1.9755249987797212,4.410654,12.483103
RTAA**,Execution time (ms),420.0214280248092,309.43323166000005,307.665274,18.775161742222696,281.833099,379.013601
RTAA**,Execution time (ms),339.4112549695428,270.49118479,270.5801265,18.289607842624395,239.920443,339.316245
RTAA**,Execution time (ms),254.55844122715712,234.5280775,236.075244,18.060274301248974,193.327852,272.99179
RTAA**,Execution time (ms),169.7056274847714,192.77741323,190.616053,14.955641514962137,170.26875,230.303798
RTAA**,Execution time (ms),84.8528137423857,149.90063982,149.7499955,9.888375624144771,126.477266,181.547614
RTAA**,Execution time (ms),28.284271247461906,128.16195757,128.308526,3.403282241522025,119.619531,136.238016
LRTA*,Execution time (ms),420.0214280248092,5034.356906430001,5011.6823845,926.3834534821029,3626.961229,6550.965069
LRTA*,Execution time (ms),339.4112549695428,3618.7854617800003,3735.1643295,727.9037041742342,2524.995293,5202.448417
LRTA*,Execution time (ms),254.55844122715712,2609.79646727,2604.1060610000004,535.9825750157906,1326.032742,3600.214207
LRTA*,Execution time (ms),169.7056274847714,1692.68656978,1559.046184,566.1027379432618,927.639634,2580.493642
LRTA*,Execution time (ms),84.8528137423857,709.5458211300001,514.4808419999999,367.1622985897842,441.160122,1704.160325
LRTA*,Execution time (ms),28.284271247461906,125.19435546999999,125.248654,4.394184417375302,115.432474,135.601068
D*,Execution time (ms),420.0214280248092,15318.99028469,15344.4884565,482.3358688434767,14272.468748,16321.448886
D*,Execution time (ms),339.4112549695428,16525.94421068,16339.6511195,1022.0872138307842,15444.376951,24439.698705
D*,Execution time (ms),254.55844122715712,15892.307755479998,15823.721849,427.66114391805405,15090.155104,16973.11138
D*,Execution time (ms),169.7056274847714,12397.898603939999,12408.295408000002,279.4183911718051,11851.948527,12940.44415
D*,Execution time (ms),84.8528137423857,3772.86371585,3795.2540185,268.4953445062691,3299.83998,4422.346418
D*,Execution time (ms),28.284271247461906,484.09975528999996,476.59995000000004,30.244806129577775,443.644362,565.029499
D* Lite,Execution time (ms),420.0214280248092,4158.40080148,4251.698985999999,425.54749302721405,3232.300442,4741.679832
D* Lite,Execution time (ms),339.4112549695428,3002.4803817300003,2975.561892,261.676620092899,2622.435099,3420.454232
D* Lite,Execution time (ms),254.55844122715712,1437.4319730000007,1437.9129275,133.5679946542111,1226.238605,1644.918127
D* Lite,Execution time (ms),169.7056274847714,717.1724939899999,722.7111165,53.383449172981166,616.707982,786.516176
D* Lite,Execution time (ms),84.8528137423857,176.54576634,170.3313445,27.53478599923909,140.540962,237.214306
D* Lite,Execution time (ms),28.284271247461906,48.62484736000001,50.366532500000005,4.788311209621598,36.809956,55.198353
LPA*,Execution time (ms),420.0214280248092,7210.064980899999,7271.519713,292.7021142947668,6711.705534,7670.476476
LPA*,Execution time (ms),339.4112549695428,5442.32879815,5408.5362125,306.05296843897906,4760.000273,6053.584079
LPA*,Execution time (ms),254.55844122715712,2934.4723331399996,2934.0865525,238.67789296449538,2509.183423,3326.251385
LPA*,Execution time (ms),169.7056274847714,1265.7108559800001,1251.8650585,119.82260597021221,1080.384466,1501.746728
LPA*,Execution time (ms),84.8528137423857,301.74551997000003,306.9449375,32.77280599557454,255.331583,352.461033
LPA*,Execution time (ms),28.284271247461906,61.184170939999994,58.65376,10.88041091772685,48.266986,93.107832
A*,Path cost,420.0214280248092,492.7903171404454,492.65894629054685,2.7960751559281216,488.2152954766509,496.7594513539352
A*,Path cost,339.4112549695428,399.7413705948106,398.98989873223434,1.994283990517818,396.7178207935921,403.5046173579957
A*,Path cost,254.55844122715712,300.5510026929382,300.19953083036216,3.532198574780866,295.5634918610411,305.6639969244294
A*,Path cost,169.7056274847714,202.13809511662447,201.7523086789975,1.9468351957190697,199.23759005323612,205.6812408671321
A*,Path cost,84.8528137423857,102.31757569573598,102.66904755831207,2.285365548792238,98.32590180780446,105.74011537017752
A*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.174463855149163,32.38477631085024,39.31370849898475
ARA*,Path cost,420.0214280248092,492.7903171404454,492.65894629054685,2.7960751559281216,488.2152954766509,496.7594513539352
ARA*,Path cost,339.4112549695428,399.7413705948106,398.98989873223434,1.994283990517818,396.7178207935921,403.5046173579957
ARA*,Path cost,254.55844122715712,300.5510026929382,300.19953083036216,3.532198574780866,295.5634918610411,305.6639969244294
ARA*,Path cost,169.7056274847714,202.13809511662447,201.7523086789975,1.9468351957190697,199.23759005323612,205.6812408671321
ARA*,Path cost,84.8528137423857,102.31757569573598,102.66904755831207,2.285365548792238,98.32590180780446,105.74011537017752
ARA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.174463855149163,32.38477631085024,39.31370849898475
RTAA**,Path cost,420.0214280248092,459.6421207560548,461.1391770309026,4.731353927806583,450.1391770309026,465.068109219037
RTAA**,Path cost,339.4112549695428,373.50545417441737,374.913780286486,4.378274990537986,365.9137802864859,379.77164466275485
RTAA**,Path cost,254.55844122715712,277.14624791833813,277.13203435596506,3.7975729829709146,271.4457428549498,283.3036072312188
RTAA**,Path cost,169.7056274847714,186.02135623730976,185.885822331377,2.837076632399105,180.8355697996828,190.0071426749367
RTAA**,Path cost,84.8528137423857,90.31484117468892,90.41778489984122,1.471064220762985,87.78174593052015,92.4680374315354
RTAA**,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.47465536442744405,28.870057685088817,30.62741699796953
LRTA*,Path cost,420.0214280248092,458.379083196975,456.25187540311083,8.04228154334372,448.080302527857,470.4234482783646
LRTA*,Path cost,339.4112549695428,370.29439354130176,372.41987694089585,6.214785857687677,361.5706345359783,380.7838379715749
LRTA*,Path cost,254.55844122715712,275.8582320230526,277.3954903232557,4.776517359127242,265.5878784786808,283.34523779156154
LRTA*,Path cost,169.7056274847714,183.9551657489722,183.4924240491752,4.360195855703915,177.90663761154826,191.5634918610407
LRTA*,Path cost,84.8528137423857,91.14326829943515,90.53910524340087,2.787130002844502,87.78174593052015,96.36753236814704
LRTA*,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.47465536442744405,28.870057685088817,30.62741699796953
D*,Path cost,420.0214280248092,492.7903171404454,492.65894629054685,2.7960751559280723,488.21529547665097,496.7594513539351
D*,Path cost,339.4112549695428,399.7413705948106,398.98989873223434,1.9942839905177994,396.7178207935923,403.50461735799576
D*,Path cost,254.55844122715712,300.5510026929382,300.19953083036216,3.5321985747808227,295.5634918610411,305.6639969244293
D*,Path cost,169.7056274847714,202.1380951166245,201.75230867899757,1.9468351957190226,199.23759005323612,205.6812408671321
D*,Path cost,84.8528137423857,102.31757569573598,102.66904755831207,2.2853655487922397,98.32590180780446,105.74011537017752
D*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.1744638551491646,32.38477631085024,39.31370849898477
D* Lite,Path cost,420.0214280248092,437.0334987847034,437.5950211536184,1.3743908324151166,434.0803025278569,438.7665940288722
D* Lite,Path cost,339.4112549695428,354.6458654038782,354.1772362537765,1.1302742235935177,353.4701294725899,356.64170234784376
D* Lite,Path cost,254.55844122715712,265.29254659810334,265.2239174480019,0.9175937277620848,263.93102422918844,267.10259710444217
D* Lite,Path cost,169.7056274847714,177.96521625531096,178.19953083036174,0.6686772848448616,176.73506473629445,178.49242404917518
D* Lite,Path cost,84.8528137423857,88.66042558696051,88.6604255869605,0.708933854699747,87.78174593052015,89.53910524340087
