Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,426.28125,0.0,0.0,35.064835
2,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.295586
3,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.24029
4,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.473699
5,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.218861
6,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.198423
7,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.207733
8,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.404178
9,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.146717
10,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.55688
11,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.267718
12,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.597807
13,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.244491
14,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.347004
15,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.182752
16,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.409794
17,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.020367
18,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.260306
19,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.264416
20,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.47549
21,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.273363
22,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.507416
23,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.048094
24,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.340152
25,1,0,31,73.53910524340094,-,83.11269837220807,2049,5,452.3671875,0.0,0.0,35.155374
