Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,182.515625,0.0,0.0,19.000544
2,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.211219
3,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.186091
4,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.357829
5,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.391033
6,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.297692
7,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.322758
8,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.182851
9,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.23115
10,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.236791
11,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.24814
12,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.283527
13,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.180078
14,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.212814
15,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.262681
16,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.303036
17,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.373419
18,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.360131
19,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.475684
20,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.401142
21,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.337237
22,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.567093
23,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.715623
24,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.688859
25,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.354541
26,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.195743
27,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.28168
28,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.300251
29,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.315138
30,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.196277
31,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.395956
32,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.541581
33,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.446877
34,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.359083
35,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.364653
36,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.304448
37,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.4476
38,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.554459
39,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.343895
40,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.447073
41,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.389833
42,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,21.279402
43,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.416362
44,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.404921
45,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.349584
46,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.282951
47,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,20.789727
48,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.409694
49,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.531513
50,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.472014
51,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.335537
52,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.45002
53,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.29893
54,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.173295
55,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.275375
56,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.234276
57,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.488642
58,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.430012
59,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.445745
60,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.563368
61,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.31269
62,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.300777
63,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.344127
64,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.334956
65,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.239016
66,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.37067
67,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.261306
68,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.296873
69,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.542151
70,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.465063
71,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.335118
72,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.49174
73,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.416249
74,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.232661
75,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.496154
76,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.605161
77,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.576767
78,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.417067
79,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.775716
80,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.351906
81,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.40412
82,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.29736
83,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.486866
84,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.751639
85,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.559161
86,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.435453
87,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.383077
88,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.457361
89,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.330564
90,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.46899
91,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.540244
92,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.283287
93,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.19708
94,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.372186
95,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.444316
96,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.459278
97,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.403665
98,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.557012
99,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.247128
100,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,19.446733
1,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.83515
2,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,20.14215
3,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,20.025382
4,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.958923
5,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.841067
6,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.805829
