Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,1037.1953125,0.0,0.0,121.269004
2,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,121.372398
3,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.316897
4,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.704562
5,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.826174
6,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.205746
7,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.942991
8,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.287787
9,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.84191
10,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.696246
11,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,-1008.0,-1024.0,120.58414
12,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.383895
13,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.901601
14,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.181796
15,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.108326
16,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.856796
17,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.962742
18,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.145695
19,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.289612
20,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.647166
21,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.333013
22,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.720587
23,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.043433
24,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.641737
