Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,84.18376618407355,883,4,290.07421875,0.0,0.0,873.157983
2,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,891.024863
3,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,891.618262
4,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,897.461544
5,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,890.311501
6,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,892.2537
7,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,890.070628
8,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,890.333627
9,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,889.62514
10,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,890.68614
11,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,892.653273
12,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,893.499375
13,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,892.947073
14,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,895.682956
15,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,895.325622
16,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,890.264313
17,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,894.470716
18,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,895.56729
19,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,897.563978
