Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,301.97265625,0.0,0.0,46.627494
2,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.615168
3,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.155924
4,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.631492
5,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.276364
6,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.615215
7,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.841747
8,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.652402
9,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.466005
10,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.848569
11,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.814686
12,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.856366
13,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.810273
14,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.336253
15,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.023509
16,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.156484
17,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.623153
18,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.454703
19,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.434424
20,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.612589
21,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.44109
22,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.435806
23,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.734394
24,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.544457
25,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.233893
26,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.96802
27,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.685399
28,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.818426
29,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.609637
30,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.691348
31,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.819007
32,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.738157
33,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.929476
34,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.158864
35,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.19396
36,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.801181
37,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.935016
38,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.524473
39,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.355984
40,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.688069
41,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.664529
42,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.782664
43,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.402509
44,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.556505
45,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.444593
46,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.242424
47,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.92109
48,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.242407
49,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.32783
50,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.950523
51,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.828384
52,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.805229
53,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.121624
54,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.377845
55,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.208555
56,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.953801
57,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.556196
58,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.469255
59,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.930667
60,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.823982
61,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.043227
62,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.979846
63,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.845657
64,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.321462
65,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.38341
66,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.226971
67,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,49.023085
68,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.60948
69,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.006212
70,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.335121
71,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.302603
72,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.772351
73,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.789387
74,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.823647
75,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.776596
76,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.621877
77,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.774403
78,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.726072
79,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.144664
80,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.464362
81,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.365122
82,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.15868
83,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.070917
84,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.129747
85,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.056156
86,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.052441
87,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.292474
88,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.122619
89,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.964143
90,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.865093
91,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.984387
92,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.076263
93,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.856335
94,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.5445
95,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.945294
96,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.007694
97,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,47.971773
98,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.111718
99,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.01156
100,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,48.327142
1,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.055084
2,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.806793
3,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.771316
4,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.694963
5,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.476614
6,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.259495
7,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.482452
8,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.384118
9,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.537779
10,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.599682
11,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.456213
12,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.181709
13,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.819444
14,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.49495
15,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.090132
16,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.909688
17,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.572969
18,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,83.116187
19,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.422795
20,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.78161
21,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,81.883817
22,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.750108
23,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,82.23191
