Algorithm,Metric,Grid number,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),1.0,35.35637345,35.317346,0.20792371371636142,35.020367,36.077645
ARA*,Execution time (ms),2.0,38.09999918,37.9673795,0.7103302720196165,37.663851,42.978699
ARA*,Execution time (ms),3.0,36.742697750000005,36.612084499999995,0.6111107459495684,36.339189,40.255483
ARA*,Execution time (ms),4.0,40.035500150000004,39.964502499999995,0.5398083487713206,39.635262,44.650911
ARA*,Execution time (ms),5.0,39.731631410000006,39.6428195,0.5491601329876854,39.322406,44.14615
ARA*,Execution time (ms),6.0,67.55295702,67.437067,0.611968645080214,66.897541,71.226861
RTAA**,Execution time (ms),1.0,48.0665458,48.033367999999996,0.3859506842301713,46.627494,49.023085
RTAA**,Execution time (ms),2.0,82.89824474000001,82.8112945,0.5509408278463416,81.883817,84.472957
RTAA**,Execution time (ms),3.0,68.15076528,68.077433,0.3873411192930251,67.562195,69.479827
RTAA**,Execution time (ms),4.0,68.00010304999999,67.90434,0.4577079723749453,67.366149,69.361521
RTAA**,Execution time (ms),5.0,67.90250135000001,67.810341,0.3964932431967714,67.333203,69.031401
RTAA**,Execution time (ms),6.0,92.53647499000003,92.52984000000001,0.7254336155334611,91.261714,94.894851
LRTA*,Execution time (ms),1.0,891.7167854400001,891.7424715,3.913416701903157,873.157983,912.841827
LRTA*,Execution time (ms),2.0,1352.4713729900002,1352.878722,3.7165205933093817,1344.615691,1365.230856
LRTA*,Execution time (ms),3.0,1489.1486178799998,1451.9497185,179.24797212977572,1289.965618,1736.468984
LRTA*,Execution time (ms),4.0,1493.58278306,1502.4299435,46.097091061780425,1415.515556,1580.873374
LRTA*,Execution time (ms),5.0,1681.76903845,1677.250532,15.897929778220236,1651.215962,1723.470025
LRTA*,Execution time (ms),6.0,1941.3551152300001,1936.8693,16.661714096959724,1912.878322,1995.036855
D*,Execution time (ms),1.0,121.29772739,120.3480705,4.958817514360837,116.108326,145.791331
D*,Execution time (ms),2.0,139.09753736000002,127.096321,35.05046788837389,116.04954,390.154373
D*,Execution time (ms),3.0,153.81998414,156.1216185,10.563421569037244,124.484594,173.188471
D*,Execution time (ms),4.0,110.52682853,109.76381649999999,4.8331245245573795,105.397618,129.030812
D*,Execution time (ms),5.0,106.90246839000001,106.655403,1.9325157814352003,104.230405,111.344249
D*,Execution time (ms),6.0,106.4614962,105.651284,3.1853579235937035,102.510969,118.02727
D* Lite,Execution time (ms),1.0,427.9183503500001,427.63385000000005,3.0005937378876473,421.361094,438.296659
D* Lite,Execution time (ms),2.0,412.89942077,412.734236,3.014550177637226,406.880841,422.763939
D* Lite,Execution time (ms),3.0,403.67020654,402.6895135,3.6619153895800367,395.699025,414.176377
D* Lite,Execution time (ms),4.0,360.67538932,360.33759050000003,2.7051037008366023,355.398061,368.020859
D* Lite,Execution time (ms),5.0,351.91770185999997,351.4341875,2.734553859773373,346.811584,358.298371
D* Lite,Execution time (ms),6.0,344.05856226000003,344.00789799999995,2.395323683075058,338.84636,350.187374
LPA*,Execution time (ms),1.0,223.16788699,222.982425,1.7000091955232957,219.936597,233.477623
LPA*,Execution time (ms),2.0,215.97681271000002,215.932249,1.1836936271508702,213.408324,218.835275
LPA*,Execution time (ms),3.0,209.59933074,209.54315200000002,1.1451440261006964,207.38561,212.635774
LPA*,Execution time (ms),4.0,201.08332603999995,200.9236355,0.9723666848262114,199.191587,204.007652
LPA*,Execution time (ms),5.0,199.84235604999998,199.83178800000002,1.0191755707288663,197.527843,202.172765
LPA*,Execution time (ms),6.0,284.52212568999994,284.5239805,1.4876323763779,281.367975,288.621099
ARA*,Path cost,1.0,83.11269837220809,83.11269837220807,1.4282446375932695e-14,83.11269837220807,83.11269837220807
ARA*,Path cost,2.0,83.94112549695424,83.94112549695426,1.4282446375932695e-14,83.94112549695426,83.94112549695426
ARA*,Path cost,3.0,83.94112549695424,83.94112549695426,1.4282446375932695e-14,83.94112549695426,83.94112549695426
ARA*,Path cost,4.0,84.76955262170046,84.76955262170044,1.4282446375932695e-14,84.76955262170044,84.76955262170044
ARA*,Path cost,5.0,84.76955262170046,84.76955262170044,1.4282446375932695e-14,84.76955262170044,84.76955262170044
ARA*,Path cost,6.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
RTAA**,Path cost,1.0,83.69848480983497,83.69848480983497,0.0,83.69848480983497,83.69848480983497
RTAA**,Path cost,2.0,95.254833995939,95.254833995939,0.0,95.254833995939,95.254833995939
RTAA**,Path cost,3.0,98.08326112068522,98.0832611206852,2.856489275186539e-14,98.0832611206852,98.0832611206852
RTAA**,Path cost,4.0,98.91168824543134,98.91168824543136,2.856489275186539e-14,98.91168824543136,98.91168824543136
RTAA**,Path cost,5.0,98.91168824543134,98.91168824543136,2.856489275186539e-14,98.91168824543136,98.91168824543136
RTAA**,Path cost,6.0,124.81118318204295,124.811183182043,4.2847339127798087e-14,124.811183182043,124.811183182043
LRTA*,Path cost,1.0,84.18376618407352,84.18376618407355,2.856489275186539e-14,84.18376618407355,84.18376618407355
LRTA*,Path cost,2.0,87.49747468305826,87.49747468305829,2.856489275186539e-14,87.49747468305829,87.49747468305829
LRTA*,Path cost,3.0,87.49747468305826,87.49747468305829,2.856489275186539e-14,87.49747468305829,87.49747468305829
LRTA*,Path cost,4.0,103.88225099390847,103.88225099390849,1.4282446375932695e-14,103.88225099390849,103.88225099390849
LRTA*,Path cost,5.0,103.88225099390847,103.88225099390849,1.4282446375932695e-14,103.88225099390849,103.88225099390849
LRTA*,Path cost,6.0,121.68124086713178,121.68124086713178,0.0,121.68124086713178,121.68124086713178
D*,Path cost,1.0,83.1126983722081,83.11269837220809,1.4282446375932695e-14,83.11269837220809,83.11269837220809
D*,Path cost,2.0,83.94112549695423,83.94112549695424,1.4282446375932695e-14,83.94112549695424,83.94112549695424
D*,Path cost,3.0,83.94112549695423,83.94112549695424,1.4282446375932695e-14,83.94112549695424,83.94112549695424
D*,Path cost,4.0,84.76955262170046,84.76955262170043,2.856489275186539e-14,84.76955262170043,84.76955262170043
D*,Path cost,5.0,84.76955262170046,84.76955262170043,2.856489275186539e-14,84.76955262170043,84.76955262170043
D*,Path cost,6.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
D* Lite,Path cost,1.0,82.52691193458121,82.5269119345812,1.4282446375932695e-14,82.5269119345812,82.5269119345812
D* Lite,Path cost,2.0,83.35533905932732,83.35533905932735,2.856489275186539e-14,83.35533905932735,83.35533905932735
D* Lite,Path cost,3.0,83.35533905932732,83.35533905932735,2.856489275186539e-14,83.35533905932735,83.35533905932735
D* Lite,Path cost,4.0,84.18376618407352,84.18376618407353,1.4282446375932695e-14,84.18376618407353,84.18376618407353
D* Lite,Path cost,5.0,84.18376618407352,84.18376618407353,1.4282446375932695e-14,84.18376618407353,84.18376618407353
D* Lite,Path cost,6.0,88.52691193458114,88.52691193458115,1.4282446375932695e-14,88.52691193458115,88.52691193458115
LPA*,Path cost,1.0,83.11269837220807,83.11269837220806,1.4282446375932695e-14,83.11269837220806,83.11269837220806
LPA*,Path cost,2.0,83.94112549695423,83.94112549695424,1.4282446375932695e-14,83.94112549695424,83.94112549695424
LPA*,Path cost,3.0,83.94112549695423,83.94112549695424,1.4282446375932695e-14,83.94112549695424,83.94112549695424
LPA*,Path cost,4.0,84.76955262170046,84.76955262170043,2.856489275186539e-14,84.76955262170043,84.76955262170043
LPA*,Path cost,5.0,84.76955262170046,84.76955262170043,2.856489275186539e-14,84.76955262170043,84.76955262170043
LPA*,Path cost,6.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
ARA*,Memory Allocation (KB),1.0,452.106328125,452.3671875,2.6085937500000016,426.28125,452.3671875
ARA*,Memory Allocation (KB),2.0,471.0625,471.0625,0.0,471.0625,471.0625
ARA*,Memory Allocation (KB),3.0,467.1171875,467.1171875,0.0,467.1171875,467.1171875
ARA*,Memory Allocation (KB),4.0,488.921875,488.921875,0.0,488.921875,488.921875
ARA*,Memory Allocation (KB),5.0,487.4296875,487.4296875,0.0,487.4296875,487.4296875
ARA*,Memory Allocation (KB),6.0,626.40625,626.40625,0.0,626.40625,626.40625
RTAA**,Memory Allocation (KB),1.0,327.643046875,327.90234375,2.5929687499999985,301.97265625,327.90234375
RTAA**,Memory Allocation (KB),2.0,381.11328125,381.11328125,0.0,381.11328125,381.11328125
RTAA**,Memory Allocation (KB),3.0,361.91015625,361.91015625,0.0,361.91015625,361.91015625
RTAA**,Memory Allocation (KB),4.0,362.07421875,362.07421875,0.0,362.07421875,362.07421875
RTAA**,Memory Allocation (KB),5.0,362.01953125,362.01953125,0.0,362.01953125,362.01953125
RTAA**,Memory Allocation (KB),6.0,400.44921875,400.44921875,0.0,400.44921875,400.44921875
LRTA*,Memory Allocation (KB),1.0,315.961171875,316.22265625,2.614843750000001,290.07421875,316.22265625
LRTA*,Memory Allocation (KB),2.0,336.02734375,336.02734375,0.0,336.02734375,336.02734375
LRTA*,Memory Allocation (KB),3.0,336.24609375,336.24609375,0.0,336.24609375,336.24609375
LRTA*,Memory Allocation (KB),4.0,335.93359375,335.93359375,0.0,335.93359375,335.93359375
LRTA*,Memory Allocation (KB),5.0,336.18359375,336.18359375,0.0,336.18359375,336.18359375
LRTA*,Memory Allocation (KB),6.0,345.76171875,345.76171875,0.0,345.76171875,345.76171875
D*,Memory Allocation (KB),1.0,952.00890625,951.1484375,8.6046875,951.1484375,1037.1953125
D*,Memory Allocation (KB),2.0,950.328125,950.328125,0.0,950.328125,950.328125
D*,Memory Allocation (KB),3.0,946.5625,946.5625,0.0,946.5625,946.5625
D*,Memory Allocation (KB),4.0,948.7421875,948.7421875,0.0,948.7421875,948.7421875
D*,Memory Allocation (KB),5.0,947.9765625,947.9765625,0.0,947.9765625,947.9765625
D*,Memory Allocation (KB),6.0,947.2578125,947.2578125,0.0,947.2578125,947.2578125
D* Lite,Memory Allocation (KB),1.0,145.09546875,144.16015625,9.353124999999999,144.16015625,237.69140625
D* Lite,Memory Allocation (KB),2.0,138.99609375,138.99609375,0.0,138.99609375,138.99609375
D* Lite,Memory Allocation (KB),3.0,144.20703125,144.20703125,0.0,144.20703125,144.20703125
D* Lite,Memory Allocation (KB),4.0,144.45703125,144.45703125,0.0,144.45703125,144.45703125
D* Lite,Memory Allocation (KB),5.0,144.58203125,144.58203125,0.0,144.58203125,144.58203125
D* Lite,Memory Allocation (KB),6.0,146.36328125,146.36328125,0.0,146.36328125,146.36328125
LPA*,Memory Allocation (KB),1.0,51.8984375,51.234375,6.640625,51.234375,117.640625
LPA*,Memory Allocation (KB),2.0,51.90625,51.90625,0.0,51.90625,51.90625
LPA*,Memory Allocation (KB),3.0,51.9140625,51.9140625,0.0,51.9140625,51.9140625
