Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,237.69140625,0.0,0.0,459.332797
2,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,-1024.0,-1024.0,441.690026
3,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,436.388095
4,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,438.44634
5,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,446.049988
6,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,439.395407
7,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,439.256203
8,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,438.970563
9,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,446.045581
10,1,0,31,73.53910524340094,-,82.5269119345812,1521,1,144.16015625,0.0,0.0,438.910644
1,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,426.687351
2,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,424.383083
3,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,430.047718
4,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,-1024.0,-1024.0,432.116812
5,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,431.787655
6,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,428.196193
7,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,427.136143
8,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,427.318261
9,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,431.287507
10,2,0,31,73.53910524340094,-,83.35533905932735,1477,1,138.99609375,0.0,0.0,427.011483
1,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,418.299906
2,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,-1024.0,-1024.0,421.768463
3,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,423.590706
4,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,415.393295
5,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,414.136278
6,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,412.698807
7,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,-1024.0,-1024.0,421.005496
8,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,415.862802
9,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,415.099239
10,3,0,31,73.53910524340094,-,83.35533905932735,1444,1,144.20703125,0.0,0.0,418.468997
1,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,376.463648
2,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,370.603847
3,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,377.594002
4,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,375.537138
5,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,372.996319
6,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,375.262787
7,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,373.733896
8,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,374.774054
9,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,371.691474
10,4,0,31,73.53910524340094,-,84.18376618407353,1290,1,144.45703125,0.0,0.0,372.547209
1,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,363.027659
2,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,366.589359
3,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,365.307515
4,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,366.091969
5,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,367.986511
6,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,359.619165
7,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,367.43646
8,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,363.324256
9,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,371.111322
10,5,0,31,73.53910524340094,-,84.18376618407353,1265,1,144.58203125,0.0,0.0,363.535757
1,6,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,356.206344
2,6,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,357.989192
3,6,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,354.740211
4,6,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,355.190032
