Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,1037.1953125,0.0,0.0,119.710325
2,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.914425
3,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.85161
4,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,115.832705
5,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.571542
6,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.935649
7,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,-1008.0,-1024.0,115.382875
8,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,115.834216
9,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.391624
10,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.467492
11,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.172501
12,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,115.264524
13,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.328854
14,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.198029
15,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.242178
16,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.72475
17,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.565017
18,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,115.547935
19,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.040156
20,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.818564
21,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.926148
22,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,117.800887
23,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.498362
24,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.025002
25,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.257238
26,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,116.500399
27,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,115.984826
28,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.831643
29,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,118.984746
30,1,0,31,73.53910524340094,-,83.11269837220809,15232,1987,951.1484375,0.0,0.0,119.34283
1,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,116.41039
2,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,115.305715
3,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.021462
4,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,115.355406
5,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.790875
6,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,-1008.0,-1024.0,114.460142
7,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.670955
8,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,-2016.0,-2048.0,114.888261
9,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,115.418023
10,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,117.443682
11,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.314554
12,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,116.12622
13,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,116.886295
14,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,113.542383
15,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.212048
16,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,115.209913
17,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.818179
18,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,115.864052
19,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.385826
20,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.813942
21,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,116.874143
22,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.400412
23,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,-1008.0,-1024.0,114.149405
24,2,0,31,73.53910524340094,-,83.94112549695424,15026,1972,950.328125,0.0,0.0,114.278523
