Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220806,993,2,117.640625,-1008.0,-1024.0,225.519682
2,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,210.66281
3,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,218.652995
4,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,212.865652
5,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,212.25167
6,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,212.24049
7,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,213.848572
8,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,214.954103
9,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,-1008.0,-1024.0,213.638925
10,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,216.404803
11,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.594384
12,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,218.501093
13,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.501125
14,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.344536
15,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.663969
16,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,214.515839
17,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.019267
18,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,215.068131
19,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,211.593452
20,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,213.080397
21,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,216.858111
22,1,0,31,73.53910524340094,-,83.11269837220806,993,2,51.234375,0.0,0.0,214.711683
