Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,84.18376618407355,883,4,290.07421875,0.0,0.0,1134.689352
2,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1174.298071
3,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1128.987197
4,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1143.539938
5,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1164.558428
6,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1152.291651
7,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1157.194626
8,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1107.836874
9,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1167.458215
10,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1184.200501
11,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1142.982617
12,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1113.225991
13,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1159.429071
14,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1159.819871
15,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1143.519621
16,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1147.915384
17,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1144.166387
18,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1151.956289
19,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1132.278718
20,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1134.632351
21,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1145.849493
22,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1136.545735
23,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1135.086716
24,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1132.310192
25,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1144.302224
26,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1130.567598
27,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1151.375221
28,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1140.719242
29,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1132.362994
30,1,0,31,73.53910524340094,250,84.18376618407355,883,4,316.22265625,0.0,0.0,1127.872144
1,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1715.979142
2,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1750.946577
3,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1701.45165
4,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1739.129481
5,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1694.317672
6,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1733.434874
7,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1744.199164
8,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1708.461578
9,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1724.447348
10,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1709.119771
11,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1721.257783
12,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1731.354821
13,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1743.081581
14,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1694.737601
15,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1711.593556
16,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1683.221888
17,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1746.722401
18,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1708.130297
19,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1698.296065
20,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1712.470906
21,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1690.582351
22,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1707.923149
23,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1691.685639
24,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1692.658601
25,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1760.953922
26,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1676.978496
27,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1729.8541
28,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1708.504327
29,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1722.553484
30,2,0,31,73.53910524340094,250,87.49747468305829,1176,5,336.02734375,0.0,0.0,1722.781458
1,3,0,31,73.53910524340094,250,87.49747468305829,1179,5,336.24609375,0.0,0.0,1631.163556
2,3,0,31,73.53910524340094,250,87.49747468305829,1179,5,336.24609375,0.0,0.0,1639.709326
