Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,301.97265625,-1008.0,-1024.0,42.678784
2,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.51471
3,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.057304
4,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.728275
5,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,42.913292
6,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,43.601001
7,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,44.251704
8,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,44.065528
9,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,42.546521
10,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.755506
11,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.937434
12,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.045433
13,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.706574
14,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.476932
15,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.728276
16,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.937592
17,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,41.026053
18,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.493546
19,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.971729
20,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.612659
21,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,41.077847
22,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.062792
23,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.286208
24,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.929442
25,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.214987
26,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.122971
27,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.612836
28,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,40.281304
29,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.590509
30,1,0,31,73.53910524340094,250,83.69848480983497,1065,5,327.90234375,0.0,0.0,39.883993
1,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,68.058981
2,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,69.713185
3,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.318652
4,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.612938
5,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.012761
6,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.42927
7,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,70.243206
8,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,71.963304
9,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,71.978624
10,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,69.119307
11,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.509745
12,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.647886
13,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.432643
14,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.030435
15,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.222906
16,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.277439
17,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.650213
18,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.868552
19,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.145061
20,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.613416
21,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.488612
22,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,67.776086
23,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.772356
24,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.050836
25,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.177935
26,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.840924
27,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.38121
28,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.361297
29,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.629329
30,2,0,31,73.53910524340094,250,95.254833995939,1916,8,381.11328125,0.0,0.0,66.092971
1,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,57.856492
2,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,59.072527
3,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,59.941564
4,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,60.990258
5,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,55.746135
6,3,0,31,73.53910524340094,250,98.0832611206852,1551,7,361.91015625,0.0,0.0,54.885344
