Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.044285
2,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.415881
3,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.072917
4,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.952842
5,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.987541
6,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.929453
7,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,65.249704
8,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,65.106592
9,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.474619
10,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.748025
11,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.330505
12,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.233303
13,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.416796
14,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.796307
15,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.190608
16,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.927033
17,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.898332
18,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.542288
19,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.605065
20,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.018896
21,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.355616
22,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.635675
23,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.023093
24,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.886225
25,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.391189
26,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.949032
27,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,62.95043
28,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.155897
29,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.316423
30,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,63.223912
1,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.125436
2,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.071885
3,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.086406
4,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.478647
5,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.14364
6,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.391855
7,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.555289
8,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.462238
9,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.075088
10,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.949033
11,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.455952
12,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.341017
13,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.131301
14,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.132721
15,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.698039
16,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.892923
17,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.973292
18,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.625048
19,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.082045
20,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.201929
21,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.761342
22,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.219544
23,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.164967
24,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.43235
25,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.826014
26,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.569452
27,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,56.261559
28,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.249558
29,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.554915
30,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.606832
1,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.482809
2,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.468825
3,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.574398
4,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.094324
5,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.515807
6,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.535411
7,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.481999
8,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.838196
9,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.889272
10,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.343769
11,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.45423
12,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.718111
13,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.185369
14,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.45169
15,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.834553
16,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.358338
17,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.776043
18,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.375573
19,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.43093
20,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.377168
21,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.899575
22,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.764313
23,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.933614
24,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.587795
25,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.671772
26,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,61.258542
