Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,182.515625,0.0,0.0,18.173026
2,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.313833
3,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.440428
4,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.122011
5,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.093552
6,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.358627
7,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.430542
8,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.058801
9,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.201499
10,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.341457
11,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.17965
12,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.081971
13,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.172052
14,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.450995
15,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.319737
16,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.072359
17,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.253829
18,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.406833
19,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.338272
20,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.915111
21,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.478747
22,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.298949
23,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.368894
24,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.234453
25,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.233797
26,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.22812
27,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.190867
28,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.180384
29,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.465523
30,1,0,31,73.53910524340094,-,83.11269837220807,2300,1,208.3828125,0.0,0.0,18.258778
1,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.894468
2,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.791736
3,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.675966
4,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.963635
5,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.083156
6,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.907249
7,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.855552
8,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.65554
9,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.860754
10,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.749444
11,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.690393
12,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.774516
13,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.552891
14,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.877158
15,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.890056
16,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.743835
17,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.789578
18,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.734031
19,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.725731
20,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.299696
21,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,19.006779
22,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.735126
23,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.737437
24,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.631739
25,2,0,31,73.53910524340094,-,83.94112549695426,2356,1,215.3046875,0.0,0.0,18.71503
