Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.139157
2,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.169454
3,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.560155
4,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.62101
5,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.940978
6,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.593733
7,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.076065
8,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.067986
9,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.857508
10,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.022898
11,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.707216
12,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.707417
13,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.92992
14,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.279651
15,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.521301
16,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.37522
17,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.089511
18,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.646965
19,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.169738
20,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.185982
21,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.502553
22,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.334297
23,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.674355
24,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.72704
25,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.826162
26,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.03538
27,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.330154
28,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.500956
29,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.384043
30,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.046009
31,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.768682
32,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.221498
33,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.309544
34,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.447946
35,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.080199
36,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.620111
37,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.947943
38,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.953041
39,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.414693
40,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.28677
41,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.890986
42,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.53722
43,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.028557
44,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.267657
45,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.477607
46,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.760779
47,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.25852
48,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.976678
49,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.208183
50,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.341178
51,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.126228
52,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.620455
53,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.746172
54,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.905966
55,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.219721
56,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.021986
57,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.503504
58,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.277319
59,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.280308
60,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.704506
61,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.479933
62,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.333476
63,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.474578
64,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.677852
65,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.221267
66,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.528347
67,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.549798
68,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,68.014786
69,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.654982
70,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.271101
71,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.979224
72,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.534555
73,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.932503
74,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.271701
75,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.955443
76,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.894044
77,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.056127
78,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.418691
79,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.150308
80,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.018335
81,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.559549
82,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.458059
83,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.950817
84,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.64551
85,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.001802
86,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.106235
87,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.539905
88,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.589426
89,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.878849
90,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.645297
91,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.173224
92,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.268042
93,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.782754
94,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.490443
95,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.171818
96,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.73829
97,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.853395
98,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.77327
99,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.599253
100,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,67.169348
1,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.103245
2,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.154921
3,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.855198
4,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.733674
5,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.448547
6,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.331839
7,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.974561
8,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.488178
9,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.862391
10,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.951024
11,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.423808
12,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.289806
13,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.543392
14,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.443053
15,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.108905
16,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.087808
17,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.689972
18,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.210313
19,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.752238
20,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.320768
21,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.827184
22,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.678191
23,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.739522
24,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.34025
25,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.025867
26,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.300714
27,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.72943
28,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.40164
29,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.75533
30,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.67931
31,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.197196
32,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.823064
33,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.050806
34,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.117568
35,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.647258
36,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.26591
37,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.29102
38,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.165322
39,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.952098
40,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.189683
41,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,63.196994
42,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.296626
43,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.802074
44,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.44206
45,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.81872
46,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.624612
47,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.413165
48,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.858475
49,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.041352
50,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.762822
51,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.384815
52,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.147755
53,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.855694
54,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.344972
55,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.125644
56,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.555669
57,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.369785
58,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.100839
59,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.621877
60,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.489248
61,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.024297
