Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.559963
2,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.52437
3,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.648791
4,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.670266
5,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.766268
6,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.689241
7,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.587328
8,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.957921
9,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.534848
10,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.587686
11,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.36301
12,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.505388
13,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.430435
14,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.504473
15,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.429502
16,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.437663
17,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.569136
18,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.667091
19,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.481029
20,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.693797
21,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.663851
22,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.789323
23,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.699246
24,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.642066
25,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.678391
26,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.859143
27,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,32.186125
28,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,32.281614
29,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.4146
30,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.459652
31,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.477795
32,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.413941
33,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.52894
34,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.320008
35,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.587613
36,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.594103
37,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.600374
38,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.726202
39,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.540931
40,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.755025
41,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,31.698646
