Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,1056.7890625,0.0,0.0,112.670506
2,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.914669
3,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,114.370212
4,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,113.673625
5,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,118.403727
6,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.376847
7,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,114.133777
8,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.911272
9,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,112.577009
10,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,104.968558
11,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,117.305235
12,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,-1008.0,-1024.0,119.267945
13,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,112.751741
14,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,116.355736
15,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.800555
16,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,114.190975
17,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.686668
18,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,120.812603
19,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,108.213741
20,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.510546
21,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,112.923147
22,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,114.239675
23,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.052084
24,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.216056
25,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,112.278537
26,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,111.449033
27,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,113.98854
28,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.101742
29,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,118.840705
30,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.215877
31,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,103.952617
32,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.102165
33,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.267514
34,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.211886
35,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,102.596244
36,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,110.072384
37,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,104.226452
38,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.602262
39,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,103.802135
40,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.933964
41,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,108.634661
42,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,107.149768
43,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.389956
44,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,106.786981
45,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,108.249442
46,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,119.252513
47,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,112.243825
48,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,114.144735
49,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,104.092735
50,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,107.449028
51,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,103.337132
52,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,102.975253
53,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,102.783479
54,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.217355
55,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,105.950728
56,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,-1008.0,-1024.0,112.110698
