Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,233.03125,0.0,0.0,298.265066
2,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.812931
3,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,286.31384
4,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.93463
5,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.534437
6,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,-1024.0,-1024.0,283.848033
7,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,283.861882
8,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,286.241046
9,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,283.8617
10,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.392658
11,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,282.929765
12,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,281.311758
13,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,285.400569
14,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,287.10503
15,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,282.133809
16,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.738008
17,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,286.993658
18,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,282.88571
19,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,282.264914
20,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,284.054731
21,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,283.667592
