Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1942.375345
2,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1938.870993
3,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1931.433204
4,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1948.188514
5,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1926.769745
6,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1911.807524
7,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1947.425058
8,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1985.15154
9,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1949.343837
10,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1944.572035
11,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1931.081176
12,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1932.861644
13,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1934.353163
14,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1928.220959
15,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1939.150982
16,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1939.90041
17,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1971.768465
18,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1967.225689
19,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1934.224663
20,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1945.254112
21,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1923.355744
22,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1931.531721
23,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1939.230785
24,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1931.480595
25,1,0,31,73.53910524340094,250,121.68124086713178,1317,6,345.76171875,0.0,0.0,1955.578454
