Algorithm,Metric,Grid number,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),1.0,67.44039108,67.416692,0.40889934899641345,66.707216,68.857508
ARA*,Execution time (ms),2.0,60.39779866,60.342611,0.460810312341978,59.72943,63.196994
ARA*,Execution time (ms),3.0,65.95937562,65.9290285,0.4610835016013528,65.344183,68.130563
ARA*,Execution time (ms),4.0,81.63792968,81.5398675,0.49847424373691407,80.941102,83.857384
ARA*,Execution time (ms),5.0,60.095287799999994,60.0413035,0.3465179262877577,59.61054,62.510333
ARA*,Execution time (ms),6.0,57.47579306000001,57.3775325,0.5028835023196416,56.933983,60.488113
ARA*,Execution time (ms),7.0,53.53236451,53.4508335,0.6188256771885345,52.960022,57.754286
RTAA**,Execution time (ms),1.0,92.44194099999999,92.3241225,0.6819629179871556,91.389544,94.557465
RTAA**,Execution time (ms),2.0,119.23581203999998,119.153692,0.7752809254423227,117.920805,122.07108
RTAA**,Execution time (ms),3.0,122.02700993999999,121.86680799999999,0.9079355788659697,120.413548,124.226608
RTAA**,Execution time (ms),4.0,160.65384317,160.697674,1.1741814078144792,158.908295,163.729261
RTAA**,Execution time (ms),5.0,138.99522553,138.862241,1.0557083070837816,137.086501,141.50117
RTAA**,Execution time (ms),6.0,162.93664364,162.991668,1.652924920433846,158.400025,166.440623
RTAA**,Execution time (ms),7.0,141.8136117,141.987988,1.651825040837329,138.643722,145.239425
LRTA*,Execution time (ms),1.0,1939.4424171,1936.1402775000001,16.6247345403624,1909.029465,1985.15154
LRTA*,Execution time (ms),2.0,1880.0518785200004,1877.1239770000002,18.416788164108816,1843.057538,1928.679363
LRTA*,Execution time (ms),3.0,1714.2400511899998,1717.3948074999998,28.052361315098725,1652.951745,1788.592261
LRTA*,Execution time (ms),4.0,3051.24795276,3041.617169,36.63888291447459,2985.619245,3167.72939
LRTA*,Execution time (ms),5.0,3039.73668341,3026.111198,39.91943413017162,2969.490544,3148.500102
LRTA*,Execution time (ms),6.0,3397.379116,3390.049805,47.43649501331762,3303.008493,3498.726001
LRTA*,Execution time (ms),7.0,4371.26536547,4354.693242,67.84800665354075,4236.239854,4561.681145
D*,Execution time (ms),1.0,109.91708437999999,109.48512099999999,4.655617971635487,102.596244,121.68779
D*,Execution time (ms),2.0,102.08240289999999,100.86653799999999,2.9731268225070377,98.771429,113.727873
D*,Execution time (ms),3.0,97.29733663,96.70204799999999,1.7449987139720278,95.276182,104.917949
D*,Execution time (ms),4.0,93.89422678,93.340704,1.691734937218442,91.834889,99.244675
D*,Execution time (ms),5.0,91.67187076,91.097188,2.2526019218271154,88.740703,104.831976
D*,Execution time (ms),6.0,88.3345108,87.958724,1.4481885624112858,86.426934,92.607501
D*,Execution time (ms),7.0,87.60106191000001,87.12055849999999,1.479476715868941,85.414343,91.379357
D* Lite,Execution time (ms),1.0,345.0148611900001,344.773051,3.9215949906763297,339.475603,369.949291
D* Lite,Execution time (ms),2.0,410.27890420999995,410.320129,3.0547691039731264,403.443716,418.383015
D* Lite,Execution time (ms),3.0,422.2855655300001,422.481414,2.425168665887256,416.374468,428.244359
D* Lite,Execution time (ms),4.0,431.85405419999995,431.83106150000003,3.848214084050193,424.008179,447.967428
D* Lite,Execution time (ms),5.0,436.77032026999996,437.1041945,3.0090424211992595,429.750316,446.601866
D* Lite,Execution time (ms),6.0,441.96640879,441.5071205,3.188766999650952,433.540948,450.705826
D* Lite,Execution time (ms),7.0,446.33299397,445.64680450000003,3.6219510096629115,438.27241,456.93034
LPA*,Execution time (ms),1.0,284.92387926000004,284.731594,2.0402169092486258,281.311758,298.265066
LPA*,Execution time (ms),2.0,323.1915144,323.269315,1.6381743558356134,320.183049,327.150136
