Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,30.23351
2,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.483143
3,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.851111
4,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.533362
5,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.715465
6,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,30.19034
7,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.920724
8,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.743146
9,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.768019
10,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.414141
11,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.691807
12,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,30.029215
13,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.482754
14,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,30.0933
15,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.8723
16,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.842073
17,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,30.145621
18,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.759791
19,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.478938
20,1,0,31,73.53910524340094,-,89.69848480983497,3810,1,344.5234375,0.0,0.0,29.685807
