Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,634.2646484375,1116.0,868.0,67.486203
2,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.282104
3,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.06721
4,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.297722
5,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.455078125,0.0,0.0,65.112428
6,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.537538
7,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.745264
8,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,66.957376
9,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.467068
10,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.502461
11,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.128239
12,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.688458
13,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.045995
14,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.383752
15,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.108798
16,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.794816
17,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.161103
18,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.818781
19,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.346997
20,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.986521
21,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.430085
22,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,65.44238
23,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,65.160829
24,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.969649
25,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.5964
26,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.651533
27,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.242062
28,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,65.5258
29,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.181578
30,1,0,31,73.53910524340094,-,89.69848480983497,4634,5,626.40625,0.0,0.0,64.485802
1,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.430341
2,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,60.178712
3,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.115023
4,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.800951
5,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.667887
6,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.411067
7,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.355448
8,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.644133
9,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.493878
10,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.237847
11,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.79537
12,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.862386
13,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.566843
14,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.124703
15,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.679778
16,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.798016
17,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.93366
18,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.76859
19,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.786068
20,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.667354
21,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.966332
22,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.563025
23,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.950393
24,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.890509
25,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,57.526963
26,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.020583
27,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.623657
28,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.740896
29,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,59.785128
30,2,0,31,73.53910524340094,-,101.98275605729683,4568,5,520.59375,0.0,0.0,58.303467
1,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.157904
2,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.090216
3,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.819719
4,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.607501
5,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.882084
6,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.632188
7,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.89372
8,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.310891
9,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.07109
10,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.84451
11,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.092722
12,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.797976
13,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.106693
14,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.209883
15,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.521549
16,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,64.098317
17,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.221817
18,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.887232
19,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.361
20,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.032041
21,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.17823
22,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.919103
23,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,65.49879
24,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,65.248666
25,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.793419
26,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.016511
27,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.672929
28,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.178523
29,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,62.949929
30,3,0,31,73.53910524340094,-,117.19595949289321,4873,5,536.609375,0.0,0.0,63.030621
1,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.361167
2,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.051193
3,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.245058
4,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.486556
5,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.508073
6,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.811758
7,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.779334
8,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.311465
9,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,77.94667
10,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.758181
11,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.426958
12,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.756531
13,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,77.889424
14,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.206469
15,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,81.178982
16,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,79.282263
17,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.582351
18,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.19264
19,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.170541
20,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.369105
21,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.247228
22,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,79.471817
23,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,79.474127
24,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.347076
25,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,77.973701
26,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,77.999468
27,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.32225
28,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,79.395374
29,4,0,31,73.53910524340094,-,141.1959594928933,5556,5,556.03125,0.0,0.0,78.777491
