Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,226.60546875,0.0,0.0,358.859486
2,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,351.598752
3,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,343.320969
4,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,345.470362
5,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.63884
6,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,345.039238
7,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.998088
8,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,349.073163
9,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.691407
10,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,346.456889
11,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,343.226373
12,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,341.911763
13,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,351.143523
14,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,350.22082
15,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.5012
16,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,345.728047
17,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.074456
18,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,343.342195
19,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,341.04389
20,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,347.21474
21,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,341.459542
22,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,348.87419
23,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,345.74638
24,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,342.315545
25,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,347.385643
26,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,346.550801
27,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,341.611735
28,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,343.652105
29,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,345.476838
30,1,0,31,73.53910524340094,-,88.52691193458115,1233,1,146.36328125,0.0,0.0,341.991572
1,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.627496
2,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,414.861006
3,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,408.483828
4,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,414.46709
5,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,411.453318
6,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,406.500796
7,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.519293
8,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,413.959814
9,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,409.767248
10,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.135349
11,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,413.823818
12,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,403.427475
13,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,404.592057
14,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,413.675513
15,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,410.580902
16,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,417.500147
17,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,408.528111
18,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,404.650167
19,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,406.622172
20,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,414.257101
21,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.859441
22,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,409.338576
23,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,410.91511
24,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,409.004914
25,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.943185
26,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,412.883526
27,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,405.724471
28,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,408.640461
29,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,405.902452
30,2,0,31,73.53910524340094,-,100.81118318204301,1524,1,138.55078125,0.0,0.0,408.324574
1,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.16796875,0.0,0.0,420.42626
2,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,419.369298
3,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,419.547568
4,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,421.321893
5,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,424.000731
6,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,422.768773
7,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,421.034515
8,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,420.894812
9,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,422.785319
10,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,426.654352
11,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,424.98309
12,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,421.286728
13,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,417.709937
14,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,423.787214
15,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,427.781392
16,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,418.100311
17,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,421.240174
18,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,422.299371
19,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,426.438682
20,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,423.871758
21,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,430.690153
22,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,422.154325
23,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,423.166572
24,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,424.608847
25,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,420.735453
26,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,424.866077
27,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,421.265038
28,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,431.440561
29,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,424.185049
30,3,0,31,73.53910524340094,-,113.09545442950487,1609,1,137.55078125,0.0,0.0,418.0877
1,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,135.74609375,0.0,0.0,426.206431
2,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,435.153043
3,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,429.909209
4,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,437.986897
5,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,428.696524
6,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,428.97952
7,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,425.642621
8,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,431.63258
9,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,426.58935
10,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.668953
11,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,436.835692
12,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,428.203168
13,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,429.524654
14,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,429.608506
15,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,425.79693
16,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.766533
17,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,429.703412
18,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,433.808326
19,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,428.499703
20,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.231426
21,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.886822
22,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,432.836036
23,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,437.078203
24,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.869935
25,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,430.893442
26,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,428.904498
27,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,434.699556
28,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,427.749724
29,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,433.704324
30,4,0,31,73.53910524340094,-,134.16652224137033,1657,1,136.56640625,0.0,0.0,429.977382
1,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.40234375,0.0,0.0,435.156345
2,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,440.223503
3,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,434.937413
4,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,434.123842
5,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,441.749805
6,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,438.903372
7,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,435.174931
8,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,436.212106
9,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,437.282991
10,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,433.432906
11,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,446.840357
12,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,440.174096
13,5,0,31,73.53910524340094,-,158.16652224137044,1687,1,139.34765625,0.0,0.0,436.328915
