Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,1056.7890625,-1008.0,-1024.0,155.952526
2,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,138.764588
3,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,138.587105
4,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,140.265391
5,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,-1008.0,-1024.0,141.092003
6,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,141.132116
7,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,142.979175
8,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,145.31161
9,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,145.819528
10,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,144.819133
11,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,150.653628
12,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,147.763942
13,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,-1008.0,-1024.0,149.425282
14,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,154.170361
15,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.544498
16,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.959352
17,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,151.441703
18,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.954885
19,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.847028
20,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.718903
21,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,154.381819
22,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,162.137863
23,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,160.221166
24,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,155.308343
25,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,-1008.0,-1024.0,154.133035
26,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,153.930467
27,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,154.097962
28,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,156.956059
29,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,154.961738
30,1,0,31,73.53910524340094,-,89.69848480983497,14230,1914,947.2578125,0.0,0.0,154.026459
1,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.040324
2,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,149.622639
3,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.893917
4,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,155.526841
5,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,-1008.0,-1024.0,149.430437
6,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,147.997578
7,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,149.008895
8,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,-1008.0,-1024.0,149.077775
9,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.417595
10,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.962453
11,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,-1008.0,-1024.0,148.339373
12,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.314863
13,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,149.212538
14,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.194177
15,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.347154
16,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,153.717699
17,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,150.637791
18,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,149.257838
19,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,-1008.0,-1024.0,148.062487
20,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.421003
21,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.260941
22,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.582643
23,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.901132
24,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.573082
25,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.843807
26,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.684552
27,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,154.028459
28,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,149.958896
29,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.674235
30,2,0,31,73.53910524340094,-,101.98275605729683,14062,1902,946.6015625,0.0,0.0,148.348971
1,3,0,31,73.53910524340094,-,117.19595949289322,13894,1890,943.0703125,0.0,0.0,143.562833
2,3,0,31,73.53910524340094,-,117.19595949289322,13894,1890,943.0703125,0.0,0.0,143.866047
3,3,0,31,73.53910524340094,-,117.19595949289322,13894,1890,943.0703125,0.0,0.0,143.560014
4,3,0,31,73.53910524340094,-,117.19595949289322,13894,1890,943.0703125,0.0,0.0,144.243553
5,3,0,31,73.53910524340094,-,117.19595949289322,13894,1890,943.0703125,0.0,0.0,143.340914
