Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,243.859375,2212.0,2288.0,304.981182
2,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,269.049232
3,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.029668
4,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,273.95193
5,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,272.262197
6,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.792587
7,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,272.259101
8,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.299117
9,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.617244
10,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.777827
11,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,278.93211
12,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,269.826934
13,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,273.952242
14,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,273.707017
15,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.541349
16,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.243041
17,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.124634
18,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,280.031544
19,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,272.886278
20,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.058618
21,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,272.293623
22,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.344551
23,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.496543
24,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,270.215118
25,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,276.764028
26,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,273.130786
27,1,0,31,73.53910524340094,-,89.69848480983497,1346,2,146.5,0.0,0.0,271.411525
