Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,74.66558
2,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.778732
3,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.964546
4,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,72.946228
5,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.582304
6,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.969288
7,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.521347
8,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.733601
9,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,76.013616
10,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.739736
11,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,78.540793
12,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,77.439198
13,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,79.023368
14,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.258295
15,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,74.048836
16,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.912094
17,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,74.722967
18,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.279308
19,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.173876
20,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,74.511115
21,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.494038
22,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,73.550792
23,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,72.984945
